,video_title,video_link,video_views,video_duration,video_availability,channel_id
0,YouTube Tools I Use To Grow And Manage My Channel,https://www.youtube.com/watch?v=dSJ6YxpUEbo,6200,7:46,1,UCei6wyubYC1I1FwZ54LZFiA
10,All YouTubers Now Have More Analytics | YouTuber News,https://www.youtube.com/watch?v=8BF54uZUw0s,7148,3:48,1,UCei6wyubYC1I1FwZ54LZFiA
30,CHEAP YouTube Studio Upgrades You'll Kick Yourself For Not Using Sooner,https://www.youtube.com/watch?v=K8Rg4a8SzgU,7394,3:46,1,UCei6wyubYC1I1FwZ54LZFiA
23,How To Make Tutorial Videos For YouTube - Tips and Tricks,https://www.youtube.com/watch?v=0BG_PWfG2Io,7655,9:06,1,UCei6wyubYC1I1FwZ54LZFiA
66,How To Live Stream On YouTube The Easy Way,https://www.youtube.com/watch?v=b4FoZRFeZ_8,9308,20:01,1,UCei6wyubYC1I1FwZ54LZFiA
148,Grow YOUR YouTube Channel With These Female YouTubers,https://www.youtube.com/watch?v=h532Sn8GkEE,10307,4:32,1,UCei6wyubYC1I1FwZ54LZFiA
19,How To Remove YouTube Comment Scammers Quickly,https://www.youtube.com/watch?v=wtNhRJEXcz8,10684,3:57,1,UCei6wyubYC1I1FwZ54LZFiA
108,Easy Tool To Organize Everything You're Doing on YouTube,https://www.youtube.com/watch?v=KzYQCt71RnE,11391,16:14,1,UCei6wyubYC1I1FwZ54LZFiA
58,Why Uploading Daily For VEDA Might Be A Mistake (Pros and Cons),https://www.youtube.com/watch?v=VZgUqV7SIXo,12045,9:33,1,UCei6wyubYC1I1FwZ54LZFiA
107,These 11 Podcasts Will Make You A Better Youtuber,https://www.youtube.com/watch?v=ws2E7akIftM,12143,8:14,1,UCei6wyubYC1I1FwZ54LZFiA
75,NEW Tool For YouTubers - Oslo Review And Tutorial,https://www.youtube.com/watch?v=YmBnYLExAm4,13204,10:02,1,UCei6wyubYC1I1FwZ54LZFiA
182,How Youtube Channels Make Money - 7 Ways,https://www.youtube.com/watch?v=uisV0OTGTQw,13260,6:00,1,UCei6wyubYC1I1FwZ54LZFiA
118,YouTube Studio Classic Is Going Away - This is Why,https://www.youtube.com/watch?v=yF55hEajbes,13609,26:02,1,UCei6wyubYC1I1FwZ54LZFiA
102,How To Make An End Card For YouTube On Your iPhone (Free),https://www.youtube.com/watch?v=wTvLiGodhXc,14228,12:32,1,UCei6wyubYC1I1FwZ54LZFiA
57,How To See Your Full YouTube Analytics On Mobile,https://www.youtube.com/watch?v=G2uMJJiWS2w,14351,5:30,1,UCei6wyubYC1I1FwZ54LZFiA
98,YOUR Videos Should Keep People Watching This Long,https://www.youtube.com/watch?v=8XhRuELy4pE,14643,2:24,1,UCei6wyubYC1I1FwZ54LZFiA
145,Streamlabs Creator Sites - How It Works And Why You Need It,https://www.youtube.com/watch?v=9TlqpFxXOhU,14790,10:35,1,UCei6wyubYC1I1FwZ54LZFiA
167,Grow On YouTube - (Audience Growth Pro Tips),https://www.youtube.com/watch?v=d2VTQlqGEhM,15141,12:20,1,UCei6wyubYC1I1FwZ54LZFiA
26,Record Your Screen And Yourself At The Same Time For YouTube,https://www.youtube.com/watch?v=kv_dgDjjxUQ,15258,9:09,1,UCei6wyubYC1I1FwZ54LZFiA
162,Get More Reach On YouTube For YOUR Videos,https://www.youtube.com/watch?v=JjQBP9OFrwU,15509,12:41,1,UCei6wyubYC1I1FwZ54LZFiA
44,Easy Video Editing Software For NEW YouTubers - Camtasia 2021,https://www.youtube.com/watch?v=gyHdRWokpuw,15724,6:57,1,UCei6wyubYC1I1FwZ54LZFiA
