,video_title,video_link,video_views,video_duration,video_availability,channel_id
47,Stay Grounded #247artists #artistadvice #EdSheeran,https://www.youtube.com/watch?v=TMvGWrVGrVQ,2,1:29,1,UC7rPE5D4iQ0fdYMn62rqZHw
56,247Artists Focused Stories | The Equilibrium: The Artist VS The Businessperson,https://www.youtube.com/watch?v=THVJBmNw2Lk,3,2:03,1,UC7rPE5D4iQ0fdYMn62rqZHw
20,There's A Reason Why The Most Powerful People Have Lawyers On Speed Dial #shorts,https://www.youtube.com/watch?v=Y8pWru5grkA,3,1:05,1,UC7rPE5D4iQ0fdYMn62rqZHw
68,247Artists Focused Stories | True Power in Knowledge,https://www.youtube.com/watch?v=acvbr4J4wKY,3,3:10,1,UC7rPE5D4iQ0fdYMn62rqZHw
65,247Arists Focused Stories | Money Makes Our Passions DOABLE,https://www.youtube.com/watch?v=R4FhhA4glN4,3,3:20,1,UC7rPE5D4iQ0fdYMn62rqZHw
64,247Artists Focused Stories | A Partner in Business Is A Partner In Life,https://www.youtube.com/watch?v=ABR501HzVsc,3,2:32,1,UC7rPE5D4iQ0fdYMn62rqZHw
57,All the greatest bands have this one common factor between them #247Artists #ArtistAdvice,https://www.youtube.com/watch?v=543Y11Xrjek,4,1:06,1,UC7rPE5D4iQ0fdYMn62rqZHw
51,"To develop your fanbase, you have to know WHO your audience should be #247artists #artistadvice",https://www.youtube.com/watch?v=TwqcK12M2WA,4,1:02,1,UC7rPE5D4iQ0fdYMn62rqZHw
63,247Artists Focused Stories | The Success in Trying,https://www.youtube.com/watch?v=0bRtRx94RaU,4,4:34,1,UC7rPE5D4iQ0fdYMn62rqZHw
52,"Mostly, making music is a PROCESS and not an epiphany #Shorts #Paramore",https://www.youtube.com/watch?v=BW50Ip04p38,5,1:13,1,UC7rPE5D4iQ0fdYMn62rqZHw
53,247Artists Focused Stories | No Artist Is An Island,https://www.youtube.com/watch?v=oGU6bYz_lEo,5,4:54,1,UC7rPE5D4iQ0fdYMn62rqZHw
7,Music Artists Don't Need Millions of Dollars to Make Progress #Shorts #247Artists,https://www.youtube.com/watch?v=f5KDaR5JD7w,6,1:05,1,UC7rPE5D4iQ0fdYMn62rqZHw
10,LEADING BY EXAMPLE! Mr. 247artists himself taking no-shortcuts. Respect all around,https://www.youtube.com/watch?v=p2DhXsAta5Y,6,1:53,1,UC7rPE5D4iQ0fdYMn62rqZHw
59,247Artists Focused Stories | Embrace Your Uniqueness (YOU DO YOU),https://www.youtube.com/watch?v=FdgtniATJOA,6,3:04,1,UC7rPE5D4iQ0fdYMn62rqZHw
58,247Artists Focused Stories | Success Has Different Faces,https://www.youtube.com/watch?v=dib_5B16Qns,6,4:08,1,UC7rPE5D4iQ0fdYMn62rqZHw
38,247 Artists: Sabrina V Holder Course Teaser #247artists #artistadvice,https://www.youtube.com/watch?v=eJxybIhn-m8,6,1:24,1,UC7rPE5D4iQ0fdYMn62rqZHw
55,247Artists Focused Stories | Preparing for Success,https://www.youtube.com/watch?v=8b5ctBkbL9I,6,3:38,1,UC7rPE5D4iQ0fdYMn62rqZHw
23,Kokayi: Why Being Meticulous Is A Must For Artists About To Sign,https://www.youtube.com/watch?v=e54n77DAi6w,7,1:14,1,UC7rPE5D4iQ0fdYMn62rqZHw
62,247Artists Focused Stories: ALL-IN: Taking A Life Gamble In Business,https://www.youtube.com/watch?v=1lV_6sjo8wI,7,3:10,1,UC7rPE5D4iQ0fdYMn62rqZHw
48,"247Artists Focused Stories | Valuing The ""Algorithm""",https://www.youtube.com/watch?v=UKT_tA1WE00,7,2:05,1,UC7rPE5D4iQ0fdYMn62rqZHw
46,247Artist Focused Stories | The Absolute Power of Social Media in Music,https://www.youtube.com/watch?v=M-CFGwTni_8,7,3:18,1,UC7rPE5D4iQ0fdYMn62rqZHw
29,"Mannywellz: 10,000 hours",https://www.youtube.com/watch?v=1ArmGducUAo,7,2:12,1,UC7rPE5D4iQ0fdYMn62rqZHw
49,A beautiful sight to behold #PrettyPlease #Shorts #artistadvice,https://www.youtube.com/watch?v=EEWDzzpyoco,8,1:01,1,UC7rPE5D4iQ0fdYMn62rqZHw
8,Everything changes - The Evolution of Comedy Specials #Shorts #247Artists,https://www.youtube.com/watch?v=l3m1O8awBFE,8,1:07,1,UC7rPE5D4iQ0fdYMn62rqZHw
27,TK having the REAL LIFE experiences of a musician; underappreciated and undervalued #247artists,https://www.youtube.com/watch?v=4Y4FthUzKlU,9,1:11,1,UC7rPE5D4iQ0fdYMn62rqZHw
72,"In Hip-Hop, breaking a record goes beyond a ""breakout"".. #DMV #DMVMusic",https://www.youtube.com/watch?v=WNtwJhrr6nE,9,1:12,1,UC7rPE5D4iQ0fdYMn62rqZHw
43,247 Artists Spotlight: Nim's Creative Process,https://www.youtube.com/watch?v=4vvLL9F_Isc,9,1:05,1,UC7rPE5D4iQ0fdYMn62rqZHw
41,Unlocking Your Business Potential Thru Social Media Management,https://www.youtube.com/watch?v=KmxckG9CWVI,10,2:06,1,UC7rPE5D4iQ0fdYMn62rqZHw
19,When and Why Should You Quit Your Job? #shorts,https://www.youtube.com/watch?v=f_GxM73qfSQ,10,1:24,1,UC7rPE5D4iQ0fdYMn62rqZHw
60,247Artists Focused Stories | Getting Your Footing In The Business,https://www.youtube.com/watch?v=2Wu5vITZqJM,10,4:59,1,UC7rPE5D4iQ0fdYMn62rqZHw
11,Effective Communication Is A Must #247artists #shorts,https://www.youtube.com/watch?v=Nr1BWGM9Pvw,10,1:37,1,UC7rPE5D4iQ0fdYMn62rqZHw
24,Who Is Mannywellz? #247artists #shorts #artistadvice,https://www.youtube.com/watch?v=1Ut6pWSTg3Q,11,1:01,1,UC7rPE5D4iQ0fdYMn62rqZHw
18,VALUE YOUR HUMAN RESOURCES! #Shorts #247artists,https://www.youtube.com/watch?v=Rkbd1DFl9zY,11,1:03,1,UC7rPE5D4iQ0fdYMn62rqZHw
50,Your mindset as an artist should be to represent your music on a GLOBAL SCALE #artistadvice,https://www.youtube.com/watch?v=OkWUlqJ71vQ,11,1:07,1,UC7rPE5D4iQ0fdYMn62rqZHw
40,How Justin Philips' career in the Clothing Line business started,https://www.youtube.com/watch?v=R5YsWUT2EZ8,11,1:27,1,UC7rPE5D4iQ0fdYMn62rqZHw
26,Mannywellz: Anything is possible,https://www.youtube.com/watch?v=A-7T3CoCgWk,12,1:05,1,UC7rPE5D4iQ0fdYMn62rqZHw
