,video_title,video_link,video_views,video_duration,video_availability,channel_id
17,Busting out of Creative boxes and Side Hustles with DESIREE HANEY / Interviews with Experts,https://www.youtube.com/watch?v=35J4NfmIpTU,14,26:04,1,UCECMqtfE3ff6HHOfZoq_sPQ
12,Music Royalties 101 / Sug Daniels,https://www.youtube.com/watch?v=PfTJJ0pAwQE,21,4:42,1,UCECMqtfE3ff6HHOfZoq_sPQ
9,Getting The Most Out of Your Live Sound with SoundGirls / Interview With the Experts,https://www.youtube.com/watch?v=qXRioBIxO9Q,21,1:09:26,1,UCECMqtfE3ff6HHOfZoq_sPQ
10,How To Have Better Band Practice / Sug Daniels,https://www.youtube.com/watch?v=4LYGWF66Wl8,29,4:58,1,UCECMqtfE3ff6HHOfZoq_sPQ
14,Get The Best Out Of Your Next Live Show / Sug Daniels,https://www.youtube.com/watch?v=yEo6-9IdUOQ,31,8:09,1,UCECMqtfE3ff6HHOfZoq_sPQ
11,Why and How to Get On the Radio / Interview with Experts Mark Rogers from Hometown Heroes,https://www.youtube.com/watch?v=Qm3x4o4JbQM,35,36:29,1,UCECMqtfE3ff6HHOfZoq_sPQ
15,Venue Booking and Music Education / Interview with The Experts CHRISTIANNA LABUZ,https://www.youtube.com/watch?v=5a6p7alPNFw,47,30:28,1,UCECMqtfE3ff6HHOfZoq_sPQ
16,HOW TO GET YOUR MUSIC ONLINE / SUG DANIELS,https://www.youtube.com/watch?v=doffvvvj4po,51,9:06,1,UCECMqtfE3ff6HHOfZoq_sPQ
22,Music Copyrights 101 / Music Industry Tips and Tricks,https://www.youtube.com/watch?v=a9X5vZPG5w8,52,5:36,1,UCECMqtfE3ff6HHOfZoq_sPQ
18,How To Release Music in 2021 / Music Industry Tips and Tricks,https://www.youtube.com/watch?v=1AvSzzJoExs,53,9:14,1,UCECMqtfE3ff6HHOfZoq_sPQ
21,Approaching an Independent Music Label / Interviews with the Experts Meredith Tarr at MPress Records,https://www.youtube.com/watch?v=wba1V2JlEUo,57,41:26,1,UCECMqtfE3ff6HHOfZoq_sPQ
2,How To Collaborate With Other Musicians/ Music Industry Tips and Tricks with Sug Daniels,https://www.youtube.com/watch?v=KmBzM-O2GH8,59,5:35,1,UCECMqtfE3ff6HHOfZoq_sPQ
3,Staying True To You For a Long Successful Career in Music with John Faye/ Interview with The Experts,https://www.youtube.com/watch?v=nmqs1RJpj40,71,1:11:18,1,UCECMqtfE3ff6HHOfZoq_sPQ
19,Licensing Music and Placements/ Interview with The Experts with ALEXX CALISE,https://www.youtube.com/watch?v=PxMjBZN8tY0,74,25:16,1,UCECMqtfE3ff6HHOfZoq_sPQ
5,Instagram Ideas For Musicians / Music Industry Tips and Tricks with Sug Daniels,https://www.youtube.com/watch?v=PB4OMPOOkso,78,6:15,1,UCECMqtfE3ff6HHOfZoq_sPQ
4,Band Merch 101/ Music Industry Tips and Tricks with Sug Daniels,https://www.youtube.com/watch?v=5yR2fGLGqLo,79,8:56,1,UCECMqtfE3ff6HHOfZoq_sPQ
8,Lisa Brigantino Interview with The Experts,https://www.youtube.com/watch?v=uBE6flwRehE,87,35:19,1,UCECMqtfE3ff6HHOfZoq_sPQ
0,Official 2022 Milford Ladybug Music Festival Recap Video,https://www.youtube.com/watch?v=bSQdqoJIoe8,122,1:40,1,UCECMqtfE3ff6HHOfZoq_sPQ
7,DIY Music Video Ideas / Music Industry Tips and Tricks,https://www.youtube.com/watch?v=DhauYDbn61Q,224,7:02,1,UCECMqtfE3ff6HHOfZoq_sPQ
1,Official 2022 Ladybug Music Festival Recap Video,https://www.youtube.com/watch?v=tUqPvFkBt5s,256,1:57,1,UCECMqtfE3ff6HHOfZoq_sPQ
20,ASCAP & BMI Explained / PRO / Professional Rights Organizations / Sug Daniels,https://www.youtube.com/watch?v=y2sgVL1rBNI,774,6:45,1,UCECMqtfE3ff6HHOfZoq_sPQ
13,Running a Music Venue in 2021 /  Interviews With The Experts RON OZER,https://www.youtube.com/watch?v=Sk6kCXB7xco,1181,34:26,1,UCECMqtfE3ff6HHOfZoq_sPQ
6,Branding and Endorsement Deals with Willow Hill / Interview With The Experts,https://www.youtube.com/watch?v=QqhNc4etwWM,4282,1:14:24,1,UCECMqtfE3ff6HHOfZoq_sPQ
