,video_title,video_link,video_views,video_duration,video_availability,channel_id
3,GIFTING MY STUDENTS THE GEAR OF THEIR DREAMS!,https://www.youtube.com/watch?v=RraQzzpWmWM,1629,5:30,1,UCjOdcJbnQcVjH_o4j2AbLog
11,5 Books That Changed My Life in the Last 365 Days!,https://www.youtube.com/watch?v=gbp9mNHYh44,2203,12:29,1,UCjOdcJbnQcVjH_o4j2AbLog
7,48HRS in SWEDEN w TEENAGE ENGINEERING - Shot on #iphone14pro  👌🏼,https://www.youtube.com/watch?v=yGe5YZNNkkk,2352,13:59,1,UCjOdcJbnQcVjH_o4j2AbLog
40,"100,000 SUBSCRIBERS 🙏🏽🙌🏽🙏🏽 - THANK YOU + MASSIVE GIVEAWAY!!! 🔥🔥🔥",https://www.youtube.com/watch?v=v2HQtEgXxA0,2435,5:25,1,UCjOdcJbnQcVjH_o4j2AbLog
16,IPHONE 13 - WHAT TO EXPECT & MY THOUGHTS USING 2 IPHONE 12’S THIS YEAR!!! 📲🤷🏽‍♂️🚀,https://www.youtube.com/watch?v=RiGfq70IfkE,2738,12:11,1,UCjOdcJbnQcVjH_o4j2AbLog
25,ASMR SILENT UNBOXING MY SILVER PLAY BUTTON 🙏🏽🙏🏽🙏🏽 (100K SUBSCRIBERS),https://www.youtube.com/watch?v=q8G9iVt_LdE,2811,0:54,1,UCjOdcJbnQcVjH_o4j2AbLog
14,My 5 YEAR YOUTUBE ANNIVERSARY 🥳🥳🥳,https://www.youtube.com/watch?v=VevN-bZmISM,2938,12:38,1,UCjOdcJbnQcVjH_o4j2AbLog
9,iPhone 14 Apple Event - MY THOUGHTS and RECOMMENDATIONS,https://www.youtube.com/watch?v=yX_qWOcWlI0,3020,11:28,1,UCjOdcJbnQcVjH_o4j2AbLog
35,What to expect at Apple’s Spring Loaded Event TOMORROW!!! NEW IPADS 🎉🔥🙌🏽,https://www.youtube.com/watch?v=R-b-w9MGmiw,3081,5:25,1,UCjOdcJbnQcVjH_o4j2AbLog
1,My Mobile Music Production Desk Setup for 2023 😮‍💨👌🏼,https://www.youtube.com/watch?v=rDSj3knevrE,3545,7:18,1,UCjOdcJbnQcVjH_o4j2AbLog
32,QUALITY VS POPULARITY AS A MUSIC PRODUCER… WHAT’S THE BETTER APPROACH? 🤔,https://www.youtube.com/watch?v=KDt0GVmA3A0,4239,7:22,1,UCjOdcJbnQcVjH_o4j2AbLog
28,DON’T LET YOUR FEARS OVERPOWER YOUR GIFT! 🙏🏼💪🏼🙏🏼,https://www.youtube.com/watch?v=mRbIuaJLMBE,4264,2:54,1,UCjOdcJbnQcVjH_o4j2AbLog
6,APOGEE BOOM - BEST VALUE AUDIO INTERFACE IN 2022?? 🤔,https://www.youtube.com/watch?v=nGL6bi7r8ZU,4295,7:00,1,UCjOdcJbnQcVjH_o4j2AbLog
15,48hours with the iPhone 13 Pro - A Weekend in the life of Henny ✊🏽💯🙏🏽,https://www.youtube.com/watch?v=CmAesx96vHg,4485,2:10,1,UCjOdcJbnQcVjH_o4j2AbLog
89,MY 2 WEEK iOS 14 and iPADOS 14 BETA OVERVIEW 👍🏼,https://www.youtube.com/watch?v=RD5JF2Hxpz8,4509,11:37,1,UCjOdcJbnQcVjH_o4j2AbLog
91,MY FAVORITE SUNGLASSES IN 2020 - ROAV EYEWEAR 😎👍🏼🙌🏼,https://www.youtube.com/watch?v=5qFV86WK2EI,4637,7:44,1,UCjOdcJbnQcVjH_o4j2AbLog
61,SILENT BEATMAKING - EPISODE 008 “ #FATALBERTFUNK “ 🎧🎹🥁🎤🔥🔥🔥,https://www.youtube.com/watch?v=OR3Kr2trwOY,4656,6:28,1,UCjOdcJbnQcVjH_o4j2AbLog
27,My 2021 LIGHTING SETUP for YOUTUBE!!! Featuring my CUSTOM NEON LIGHT from ECHONEON 🙌🏽❤️🙏🏽,https://www.youtube.com/watch?v=kzbVwTmbGnk,4711,6:33,1,UCjOdcJbnQcVjH_o4j2AbLog
