,video_title,video_link,video_views,video_duration,video_availability,channel_id
558,Hard is Better Than Easy | #AskJoeGilder 203,https://www.youtube.com/watch?v=rt2a4ZTYCk4,701,37:46,1,UCYDzeYIkNPD7_6adQZ3oX8g
549,Creative Pressure | #AskJoeGilder 204,https://www.youtube.com/watch?v=YjBXH2V4cVM,853,39:55,1,UCYDzeYIkNPD7_6adQZ3oX8g
538,HELP! | 2-Minute Tip [20],https://www.youtube.com/watch?v=1dxMPeRkrko,902,1:58,1,UCYDzeYIkNPD7_6adQZ3oX8g
409,Playing More Shows | #AskJoeGilder 227,https://www.youtube.com/watch?v=ti7_6_Pgs_o,928,30:01,1,UCYDzeYIkNPD7_6adQZ3oX8g
548,Ask Joe Fanboys | GilderCam [28],https://www.youtube.com/watch?v=xxT8ZNFDbE4,959,4:19,1,UCYDzeYIkNPD7_6adQZ3oX8g
181,Travel Day Home from #NAMM - #GilderCam,https://www.youtube.com/watch?v=bzGtE7du004,964,0:59,1,UCYDzeYIkNPD7_6adQZ3oX8g
512,NAMM Review | #AskJoeGilder 208,https://www.youtube.com/watch?v=FT5w9QpPQp8,968,39:56,1,UCYDzeYIkNPD7_6adQZ3oX8g
555,What's Your Unfair Advantage? | 2-Minute Tip [18],https://www.youtube.com/watch?v=2JSn6np7Aqg,1024,1:52,1,UCYDzeYIkNPD7_6adQZ3oX8g
379,New VIP Gold Membership | #AskJoeGilder 233,https://www.youtube.com/watch?v=sRKd97o4U74,1028,32:28,1,UCYDzeYIkNPD7_6adQZ3oX8g
443,Zig Ziglar and Me | #AskJoeGilder 222,https://www.youtube.com/watch?v=nhADhDsXGVk,1045,30:01,1,UCYDzeYIkNPD7_6adQZ3oX8g
522,Nashville Session Giveaway Winners! | GilderCam [41],https://www.youtube.com/watch?v=A1tIAnCetDQ,1056,12:25,1,UCYDzeYIkNPD7_6adQZ3oX8g
427,Failure is an Event,https://www.youtube.com/watch?v=c44zijV-svw,1101,2:00,1,UCYDzeYIkNPD7_6adQZ3oX8g
551,A Sweaty Mess | GilderCam [27],https://www.youtube.com/watch?v=6RQaCQO6-Pg,1114,8:40,1,UCYDzeYIkNPD7_6adQZ3oX8g
382,Course-Correcting | #AskJoeGilder 231,https://www.youtube.com/watch?v=CZQM9bLJyIM,1131,32:08,1,UCYDzeYIkNPD7_6adQZ3oX8g
525,Tough Advice | #AskJoeGilder 206,https://www.youtube.com/watch?v=BHQoheZ8Flw,1135,37:17,1,UCYDzeYIkNPD7_6adQZ3oX8g
565,Stop Being Precious | 2-Minute Tip [17],https://www.youtube.com/watch?v=Z-Aq5AdYBTg,1146,2:04,1,UCYDzeYIkNPD7_6adQZ3oX8g
449,Fear of Striking Out | #AskJoeGilder 221,https://www.youtube.com/watch?v=u_NXYrWX1zI,1160,30:02,1,UCYDzeYIkNPD7_6adQZ3oX8g
457,HUMONGOUS END-OF-THE-YEAR SALE!!,https://www.youtube.com/watch?v=ZDmyLOdC3yI,1181,3:41,1,UCYDzeYIkNPD7_6adQZ3oX8g
523,"First Who, Then What | 2-Minute Tip [21]",https://www.youtube.com/watch?v=k0FtELsDO_8,1183,2:05,1,UCYDzeYIkNPD7_6adQZ3oX8g
530,Playing Catchup | GilderCam [36],https://www.youtube.com/watch?v=J10lp41-S8Y,1191,8:40,1,UCYDzeYIkNPD7_6adQZ3oX8g
373,Joe Gilder: Behind the Scenes,https://www.youtube.com/watch?v=VnhRdKSZ4Gk,1198,0:17,1,UCYDzeYIkNPD7_6adQZ3oX8g
536,"""You Love Me"" by Joe Gilder | RAIN EP",https://www.youtube.com/watch?v=Xiarwn8cGG0,1202,4:44,1,UCYDzeYIkNPD7_6adQZ3oX8g
