,video_title,video_link,video_views,video_duration,video_availability,channel_id
108,Studio Tour 2021,https://www.youtube.com/watch?v=6msWl3sA5p0,21768,13:48,1,UCYDzeYIkNPD7_6adQZ3oX8g
49,How I Gain-Stage My Busses,https://www.youtube.com/watch?v=y5-ljyOFbuY,22392,11:41,1,UCYDzeYIkNPD7_6adQZ3oX8g
32,Listen to This Before You Release Another Song,https://www.youtube.com/watch?v=6DL6PYhI4JU,22596,9:43,1,UCYDzeYIkNPD7_6adQZ3oX8g
100,How to EQ Vocals (3 Tips),https://www.youtube.com/watch?v=HWnJG5qSI7E,26288,11:41,1,UCYDzeYIkNPD7_6adQZ3oX8g
107,Mixing 101 - Setting Levels,https://www.youtube.com/watch?v=ds_m0Uagt2U,32577,14:19,1,UCYDzeYIkNPD7_6adQZ3oX8g
59,How to Set Levels,https://www.youtube.com/watch?v=ahY8QFPniXs,32833,7:11,1,UCYDzeYIkNPD7_6adQZ3oX8g
39,No One Talks About This,https://www.youtube.com/watch?v=KxzPRVqGZHc,32879,7:55,1,UCYDzeYIkNPD7_6adQZ3oX8g
76,Don't Do THIS With Reverb,https://www.youtube.com/watch?v=BPlJQdJw9vY,33119,9:10,1,UCYDzeYIkNPD7_6adQZ3oX8g
77,How I EQ Acoustic Guitar,https://www.youtube.com/watch?v=b3HHhv3tpSw,36081,9:48,1,UCYDzeYIkNPD7_6adQZ3oX8g
105,Simple Guide to Mixing Vocals,https://www.youtube.com/watch?v=lEbRBbxbfko,96906,18:23,1,UCYDzeYIkNPD7_6adQZ3oX8g
