,video_title,video_link,video_views,video_duration,video_availability,channel_id
41,Free Electrik Guitarz Download,https://www.youtube.com/watch?v=E_G8r_AfA9Q,6,1:07,1,UClZIv-cxndXmChbzPwuBp4Q
45,Free Burier Plugin Download,https://www.youtube.com/watch?v=vp2z0vV6Mf0,8,0:47,1,UClZIv-cxndXmChbzPwuBp4Q
48,Free Alpha VST Content & Download,https://www.youtube.com/watch?v=CvFJKbzHOSc,9,0:50,1,UClZIv-cxndXmChbzPwuBp4Q
19,Free Synthesizers Lokomotiv Download,https://www.youtube.com/watch?v=4vg8_zH21J0,9,1:00,1,UClZIv-cxndXmChbzPwuBp4Q
30,Get To Know Dylan Cornwell Musical Artist,https://www.youtube.com/watch?v=pQY4Y0LRrfE,10,1:21,1,UClZIv-cxndXmChbzPwuBp4Q
53,Best Recording Studio Buffalo NY,https://www.youtube.com/watch?v=gxDpLgAIHa4,11,1:49,1,UClZIv-cxndXmChbzPwuBp4Q
42,Free CY Freemoog Download,https://www.youtube.com/watch?v=DzSicQKsWaY,12,1:21,1,UClZIv-cxndXmChbzPwuBp4Q
35,Free Prodigious Synth Download,https://www.youtube.com/watch?v=9ZGskD0YL6s,13,1:35,1,UClZIv-cxndXmChbzPwuBp4Q
26,Free Reed Instrument Samples,https://www.youtube.com/watch?v=qQbjqsvWwdk,13,0:49,1,UClZIv-cxndXmChbzPwuBp4Q
58,Best Recording Studio Sheffield,https://www.youtube.com/watch?v=CqlsS4bNW6Y,14,2:37,1,UClZIv-cxndXmChbzPwuBp4Q
46,Free Animoog Presets Download,https://www.youtube.com/watch?v=uYIyrJjFvRA,14,1:06,1,UClZIv-cxndXmChbzPwuBp4Q
24,Free Revitar 2 Download,https://www.youtube.com/watch?v=iU9cW8uuDCc,15,1:07,1,UClZIv-cxndXmChbzPwuBp4Q
15,Free Z3 VST Review & Download,https://www.youtube.com/watch?v=SaHkXVHvEVg,18,1:31,1,UClZIv-cxndXmChbzPwuBp4Q
55,The Best Recording Studios In Brighton,https://www.youtube.com/watch?v=smDZGf0OI_k,19,2:12,1,UClZIv-cxndXmChbzPwuBp4Q
57,The Best Recording Studio Birmingham,https://www.youtube.com/watch?v=yNgM7bWrkqY,19,1:49,1,UClZIv-cxndXmChbzPwuBp4Q
40,Free Driftmaker VST Download,https://www.youtube.com/watch?v=2GtLorkR9B4,21,0:52,1,UClZIv-cxndXmChbzPwuBp4Q
9,The Arturia Fet 76 Review,https://www.youtube.com/watch?v=zjRdKSyzGKk,21,1:11,1,UClZIv-cxndXmChbzPwuBp4Q
6,Sound Select Workstation VST Review,https://www.youtube.com/watch?v=BLHeZRItB5g,23,1:40,1,UClZIv-cxndXmChbzPwuBp4Q
25,Free Retro Boy VST Download,https://www.youtube.com/watch?v=IoJOarUD45g,23,1:07,1,UClZIv-cxndXmChbzPwuBp4Q
21,Free Sean Pandy Drums,https://www.youtube.com/watch?v=lcjrlcq2w-Y,24,1:01,1,UClZIv-cxndXmChbzPwuBp4Q
49,Drumtroop VST Review & Download,https://www.youtube.com/watch?v=GMgs6uSeQDw,25,1:05,1,UClZIv-cxndXmChbzPwuBp4Q
1,Best Music Studios In Detroit,https://www.youtube.com/watch?v=cAZMUBZr5oU,26,2:33,1,UClZIv-cxndXmChbzPwuBp4Q
43,Free DSK World Stringz Download,https://www.youtube.com/watch?v=YrCftN9FhmU,30,1:08,1,UClZIv-cxndXmChbzPwuBp4Q
27,Free RandARP Download,https://www.youtube.com/watch?v=oPpOonNPLr8,31,0:55,1,UClZIv-cxndXmChbzPwuBp4Q
18,Free SYX Files For Korg Poly-800,https://www.youtube.com/watch?v=2gQ6ZjMVVO4,32,1:13,1,UClZIv-cxndXmChbzPwuBp4Q
50,Free 9th Wonder Kit Drums Download,https://www.youtube.com/watch?v=9mzRYkiIjeU,34,1:11,1,UClZIv-cxndXmChbzPwuBp4Q
29,Alpha Juno Free Samples,https://www.youtube.com/watch?v=hobpdxUnlt4,37,1:09,1,UClZIv-cxndXmChbzPwuBp4Q
95,Try Our FREE Large File Transfers,https://www.youtube.com/watch?v=FZtLpmf7KyE,37,2:25,1,UClZIv-cxndXmChbzPwuBp4Q
32,Free Samsara Bass VST Download,https://www.youtube.com/watch?v=tnOcBTaYNyM,38,1:01,1,UClZIv-cxndXmChbzPwuBp4Q
20,Free Slick HDR VST Download,https://www.youtube.com/watch?v=1n_oh9IxE8I,41,1:08,1,UClZIv-cxndXmChbzPwuBp4Q
39,Free Glass Chimes Sound Sample,https://www.youtube.com/watch?v=uaXbliiDRrY,42,1:00,1,UClZIv-cxndXmChbzPwuBp4Q
51,Download Orchestrap VST Plugin,https://www.youtube.com/watch?v=km9tbY13hsI,44,1:11,1,UClZIv-cxndXmChbzPwuBp4Q
37,Free KS7000 VST Download,https://www.youtube.com/watch?v=vMErmYxfgdM,45,1:12,1,UClZIv-cxndXmChbzPwuBp4Q
60,Best Recording Studio Miami,https://www.youtube.com/watch?v=GjNH3TmzdHo,45,3:28,1,UClZIv-cxndXmChbzPwuBp4Q
12,Juno-60 SFZ Free Download,https://www.youtube.com/watch?v=qDO2uGF9KRk,47,0:56,1,UClZIv-cxndXmChbzPwuBp4Q
59,The Best Recording Studios In Atlanta,https://www.youtube.com/watch?v=4oFPPMUNphc,48,3:37,1,UClZIv-cxndXmChbzPwuBp4Q
2,7 of The Best Recording Studios in Los Angeles,https://www.youtube.com/watch?v=rJQabIWe258,56,4:33,1,UClZIv-cxndXmChbzPwuBp4Q
34,Free Monster Strings VST,https://www.youtube.com/watch?v=ddc6Bnibmr0,57,1:18,1,UClZIv-cxndXmChbzPwuBp4Q
73,Brooke Burgess - 'SUPERBOO',https://www.youtube.com/watch?v=ws6soGJ5JSc,60,4:03,1,UClZIv-cxndXmChbzPwuBp4Q
68,Ian Nelson - Everything I Wanted (Billie Eilish Cover) - Cover Lounge,https://www.youtube.com/watch?v=2VaEFjatv-w,63,4:24,1,UClZIv-cxndXmChbzPwuBp4Q
13,Best JP-8000 Emulation,https://www.youtube.com/watch?v=Yf5iTzE9B7E,63,1:41,1,UClZIv-cxndXmChbzPwuBp4Q
44,Free Drill Sound Effect Download,https://www.youtube.com/watch?v=JnFZJ48ZXzk,64,0:50,1,UClZIv-cxndXmChbzPwuBp4Q
61,Download ATL Culture Drum Kit,https://www.youtube.com/watch?v=JBoJQLPUy28,76,1:33,1,UClZIv-cxndXmChbzPwuBp4Q
67,Friends Like These - As It Was/What Makes You Beautiful (Harry Styles/1D Cover) - Cover Lounge,https://www.youtube.com/watch?v=fR92eeChvNU,78,2:58,1,UClZIv-cxndXmChbzPwuBp4Q
74,Trademark Blud 'Lemon',https://www.youtube.com/watch?v=33XZ_qy6bss,78,2:36,1,UClZIv-cxndXmChbzPwuBp4Q
56,The Best Recording Studios in Chicago,https://www.youtube.com/watch?v=LEMWJZ1Pp6s,79,3:38,1,UClZIv-cxndXmChbzPwuBp4Q
16,Free VST Protege Moog Download,https://www.youtube.com/watch?v=iU9MwQDi-Wc,82,1:09,1,UClZIv-cxndXmChbzPwuBp4Q
0,Mastering Your Music Made Easy!,https://www.youtube.com/watch?v=fUXdg52x7Wk,84,3:23,1,UClZIv-cxndXmChbzPwuBp4Q
54,Best One Shot Kit Free Download,https://www.youtube.com/watch?v=ZwX5nfSzf18,86,1:00,1,UClZIv-cxndXmChbzPwuBp4Q
47,Free Crystal Harp VST Download,https://www.youtube.com/watch?v=TTADAN6_dDo,87,1:00,1,UClZIv-cxndXmChbzPwuBp4Q
96,YouTube Tips For Succeeding In The Music Industry,https://www.youtube.com/watch?v=y1fc9DmXH5I,88,3:15,1,UClZIv-cxndXmChbzPwuBp4Q
62,Music Discovery Score - Sync Licensing,https://www.youtube.com/watch?v=0K77BVCCkLs,91,0:22,1,UClZIv-cxndXmChbzPwuBp4Q
4,Wheezy Shows The Screen Drum Kit,https://www.youtube.com/watch?v=Cvh6_vsz_vw,96,1:14,1,UClZIv-cxndXmChbzPwuBp4Q
31,Free West Coast Drum Kit Download,https://www.youtube.com/watch?v=JqNdBfMkUJg,96,1:06,1,UClZIv-cxndXmChbzPwuBp4Q
36,Free Phonk Drum Kit Download,https://www.youtube.com/watch?v=uQFsHH2mYFM,105,0:56,1,UClZIv-cxndXmChbzPwuBp4Q
52,Best Recording Studios In Dallas,https://www.youtube.com/watch?v=5OIBXcQQKvg,106,1:43,1,UClZIv-cxndXmChbzPwuBp4Q
72,Ryan Bena 'DIME QUE NOS PASÓ',https://www.youtube.com/watch?v=t-_vjrMWXss,107,2:49,1,UClZIv-cxndXmChbzPwuBp4Q
11,Mr Sax VST Download Free,https://www.youtube.com/watch?v=uZ3g2rXumGo,111,1:32,1,UClZIv-cxndXmChbzPwuBp4Q
65,Kaiak - It Ain't Me (Kygo & Selena Gomez Cover) - Cover Lounge,https://www.youtube.com/watch?v=iC_8tOtJOik,112,3:03,1,UClZIv-cxndXmChbzPwuBp4Q
38,Free Impulse Response Marshall Cab Download,https://www.youtube.com/watch?v=ZkjeXRiLk_U,122,1:08,1,UClZIv-cxndXmChbzPwuBp4Q
5,SRX Keyboards VST Free Download,https://www.youtube.com/watch?v=a6GposnZGdI,132,0:58,1,UClZIv-cxndXmChbzPwuBp4Q
64,James Fordham - Over It (Lucky Daye Cover) - Cover Lounge,https://www.youtube.com/watch?v=PeT-fIeQnGE,133,2:58,1,UClZIv-cxndXmChbzPwuBp4Q
10,Murda Melodies Free Download,https://www.youtube.com/watch?v=1rZZwuFrhk8,136,1:05,1,UClZIv-cxndXmChbzPwuBp4Q
28,Free NES VST Review & Download,https://www.youtube.com/watch?v=gX5Y5smL66o,145,1:16,1,UClZIv-cxndXmChbzPwuBp4Q
17,Free Trumpet Sound Effect,https://www.youtube.com/watch?v=X2ZKWMH30wE,154,0:50,1,UClZIv-cxndXmChbzPwuBp4Q
70,FOUR: Brooke Burgess,https://www.youtube.com/watch?v=987LSpWS33c,161,3:11,1,UClZIv-cxndXmChbzPwuBp4Q
22,Free RnB Drum Kits Download,https://www.youtube.com/watch?v=8rj84CwMz-o,175,1:08,1,UClZIv-cxndXmChbzPwuBp4Q
91,How To Start A Band: Tips And Tricks,https://www.youtube.com/watch?v=pRp3jM18nPc,175,2:15,1,UClZIv-cxndXmChbzPwuBp4Q
69,Free Studio Sessions,https://www.youtube.com/watch?v=1wQCCjBT-z8,186,0:26,1,UClZIv-cxndXmChbzPwuBp4Q
63,Music Gateway - Your Gateway to the Music Industry,https://www.youtube.com/watch?v=MFLHgMGbCJc,200,0:41,1,UClZIv-cxndXmChbzPwuBp4Q
71,Fresh Andy - 'Stand Amazed',https://www.youtube.com/watch?v=mH7ivVhdHa4,202,3:23,1,UClZIv-cxndXmChbzPwuBp4Q
87,Our Spotify Greenroom Review,https://www.youtube.com/watch?v=zIkD-6H3oOE,208,2:19,1,UClZIv-cxndXmChbzPwuBp4Q
