,video_title,video_link,video_views,video_duration,video_availability,channel_id
2,Twinkly Ukulele Fingerpicking Song - Star Gazing with Play Along,https://www.youtube.com/watch?v=pxaSHEUizao,1034,9:13,1,UCXGiCLn-Xh9VwDT8h06rOIA
0,Stand By Me EASY Guitar Tutorial with Play Along,https://www.youtube.com/watch?v=5ka-4bS2eEY,1063,10:23,1,UCXGiCLn-Xh9VwDT8h06rOIA
79,Ruins - Maverick City Guitar Tutorial,https://www.youtube.com/watch?v=QL9N9TyMdyU,1100,8:15,1,UCXGiCLn-Xh9VwDT8h06rOIA
6,"A Valentine's Fingerpicking Tutorial - Original Song ""You Are Loved""",https://www.youtube.com/watch?v=Ch7ywEnqelg,1127,11:57,1,UCXGiCLn-Xh9VwDT8h06rOIA
1,GO or NO? Enya Nova Go Travel Guitar Acoustic Plus Review,https://www.youtube.com/watch?v=LNXk2JvrmUk,1261,16:35,1,UCXGiCLn-Xh9VwDT8h06rOIA
52,Want better sounding chords? Start Here!,https://www.youtube.com/watch?v=cDhr79pHTG4,1310,6:45,1,UCXGiCLn-Xh9VwDT8h06rOIA
7,Soft and Sweet Ukulele Fingerpicking Melody + Story Behind the Song,https://www.youtube.com/watch?v=rBjTuaiC9NY,1329,9:39,1,UCXGiCLn-Xh9VwDT8h06rOIA
27,"10,000 Reasons to Be Grateful - Ukulele/Guitar Play Along",https://www.youtube.com/watch?v=nloWDftStl0,1404,5:19,1,UCXGiCLn-Xh9VwDT8h06rOIA
109,"Uke Jam Announcements, Patreon Changes, and a Special Holiday Message",https://www.youtube.com/watch?v=rg9MvvtPZkY,1515,13:10,1,UCXGiCLn-Xh9VwDT8h06rOIA
14,Auld Lang Syne Ukulele Chord Melody Lesson,https://www.youtube.com/watch?v=YdSZ1Pf4Zvw,1544,11:01,1,UCXGiCLn-Xh9VwDT8h06rOIA
29,Promises Ukulele Tutorial - Maverick City Music,https://www.youtube.com/watch?v=lZGds4VxUdw,1555,6:22,1,UCXGiCLn-Xh9VwDT8h06rOIA
