,video_title,video_link,video_views,video_duration,video_availability,channel_id
6,4 Strategies Musicians With Over 100k Streams Do Differently!,https://www.youtube.com/watch?v=QRf9WDvp7ac,146,7:51,1,UCX2Fgz0YtoT2UexE0UaPArw
2,My FAVOURITE Method To 2X Grow Spotify Monthly Streams... In 4 Weeks,https://www.youtube.com/watch?v=dF_oiqZSmsE,149,8:42,1,UCX2Fgz0YtoT2UexE0UaPArw
7,Do You NEED A Music Manager ? (NOT What You Think)!,https://www.youtube.com/watch?v=kxT1foXpxoA,151,4:41,1,UCX2Fgz0YtoT2UexE0UaPArw
12,A DJ's Guide To Stand Out and Get Booked For More Gigs,https://www.youtube.com/watch?v=_UWmAZD4pCE,159,9:09,1,UCX2Fgz0YtoT2UexE0UaPArw
5,Can You Use ChatGPT For Music Marketing?,https://www.youtube.com/watch?v=IQY_mM1osu4,171,9:20,1,UCX2Fgz0YtoT2UexE0UaPArw
11,10X Increase In Spotify Streams With #1 Hack,https://www.youtube.com/watch?v=gBO_rqAA70A,177,5:15,1,UCX2Fgz0YtoT2UexE0UaPArw
13,Get More Likes on Your Music By Trying These Two Things...(Live Event Snippet),https://www.youtube.com/watch?v=A-Qjzo_pgt8,187,6:10,1,UCX2Fgz0YtoT2UexE0UaPArw
20,I Got My First 100K Plays... After Losing ALL My Followers!,https://www.youtube.com/watch?v=_J7DWxPYQAk,191,5:46,1,UCX2Fgz0YtoT2UexE0UaPArw
8,Musicians FAIL At Promoting Music UNLESS They Stop These Tactics...,https://www.youtube.com/watch?v=0kwDzc0h9WY,191,4:05,1,UCX2Fgz0YtoT2UexE0UaPArw
9,The 6 Best / Worst 4 December Days To Release Music (And How To Win),https://www.youtube.com/watch?v=LYkplVfwWOo,204,5:02,1,UCX2Fgz0YtoT2UexE0UaPArw
23,Do This NOW To Blow Up As A Rapper On TikTok (Becoming Worldwide Podcast),https://www.youtube.com/watch?v=wT8zXskvgjg,224,14:36,1,UCX2Fgz0YtoT2UexE0UaPArw
31,Music Producer Mindset You NEED To Get Your First Fans In 2022 (CopyPaste Radio Interview),https://www.youtube.com/watch?v=ITN1SJBJj5s,227,19:54,1,UCX2Fgz0YtoT2UexE0UaPArw
10,"A Rapper Challenged Me To Get 100,000 Streams On His EP!!",https://www.youtube.com/watch?v=qRZgBFEemUI,229,12:35,1,UCX2Fgz0YtoT2UexE0UaPArw
22,Before Releasing A Single....DON'T MISS These 4 Critical Steps,https://www.youtube.com/watch?v=xoF9EXVvXSU,252,5:43,1,UCX2Fgz0YtoT2UexE0UaPArw
15,Plan 1 Year Of Song Releases... In LESS Than 5 Minutes!,https://www.youtube.com/watch?v=AGwvS3euAo4,258,4:05,1,UCX2Fgz0YtoT2UexE0UaPArw
24,How Often Should You Release A Single?? (It''s NOT What You Think!),https://www.youtube.com/watch?v=Zj6mPlW6Pzc,268,6:41,1,UCX2Fgz0YtoT2UexE0UaPArw
3,The EXACT Monthly Song Release Strategy That Drives STREAMS!,https://www.youtube.com/watch?v=PptGlaGLV4c,286,5:02,1,UCX2Fgz0YtoT2UexE0UaPArw
21,Every Musician Wants To Know... How To Go From 0 to 1000 Fans in 2022 (QUICK!),https://www.youtube.com/watch?v=RrkW3DrYlHc,294,5:52,1,UCX2Fgz0YtoT2UexE0UaPArw
30,Top GOALS You NEED To Explode Your Music Career 2022!,https://www.youtube.com/watch?v=JcM8IT6VV3g,312,6:03,1,UCX2Fgz0YtoT2UexE0UaPArw
0,Spotify Discovery Mode Explained!! (Has Spotify For Artists Made A Game Changer?),https://www.youtube.com/watch?v=QA21FsobP-g,361,6:40,1,UCX2Fgz0YtoT2UexE0UaPArw
14,The #1 Social Media Strategy For Musicians (To Get Seen By More Fans),https://www.youtube.com/watch?v=vG5WF8hLda8,363,8:06,1,UCX2Fgz0YtoT2UexE0UaPArw
4,Is This The PERFECT Weekly Song Release Strategy For Singers?,https://www.youtube.com/watch?v=rO5bgYuUhVs,380,3:53,1,UCX2Fgz0YtoT2UexE0UaPArw
26,£150k Spent on Facebook Ads in One Year: The Results,https://www.youtube.com/watch?v=XYbRuD95G5k,433,4:56,1,UCX2Fgz0YtoT2UexE0UaPArw
27,The Simplest Rule For WHAT TO POST on Instagram...,https://www.youtube.com/watch?v=b5pylgYxBzw,443,5:01,1,UCX2Fgz0YtoT2UexE0UaPArw
16,DON'T Promote A Single.... WITHOUT Watching This!!!,https://www.youtube.com/watch?v=XFmqxxGGrRA,580,8:12,1,UCX2Fgz0YtoT2UexE0UaPArw
29,4 Breakthrough Ways To Promote Your Music In 2022... FASTER Than You Ever Dreamed Possible!,https://www.youtube.com/watch?v=j4IvK2mFzGA,588,8:29,1,UCX2Fgz0YtoT2UexE0UaPArw
19,"Want 10,000 Streams on EVERY Track You Release?",https://www.youtube.com/watch?v=PaahVd2CK-4,681,7:55,1,UCX2Fgz0YtoT2UexE0UaPArw
