,video_title,video_link,video_views,video_duration,video_availability,channel_id
30,"How To Make More Money From YouTube, Part 6 #youtubegrowth  #youtubecourse",https://www.youtube.com/watch?v=yZpUHa1zDHA,295,1:01,1,UCMUWLmu8UENZxSJEFMDicJA
10,Dorian - Tennessee (Instrumental),https://www.youtube.com/watch?v=x0a2XirC_UI,322,3:35,1,UCMUWLmu8UENZxSJEFMDicJA
15,🗣 How Rappers Get Free 1 on 1 Coaching,https://www.youtube.com/watch?v=JEF8ceY0q64,323,1:34,1,UCMUWLmu8UENZxSJEFMDicJA
27,Why Dorian Is Doing A 99% Off On Black Friday Sale #blackfriday #sale  #artists #rappers #spotify,https://www.youtube.com/watch?v=C6pPQV5WfCM,358,1:01,1,UCMUWLmu8UENZxSJEFMDicJA
9,Dorian - Tennessee (Acapella - Lyrics In Description),https://www.youtube.com/watch?v=v526KtwnBTE,394,3:35,1,UCMUWLmu8UENZxSJEFMDicJA
33,How To Write A YouTube Description That Gets More Views #youtubegrowth  #youtubecourse,https://www.youtube.com/watch?v=k9v0ypud3O4,450,1:01,1,UCMUWLmu8UENZxSJEFMDicJA
32,How To Get More Views On YouTube #youtubegrowth  #youtubecourse,https://www.youtube.com/watch?v=8PashLgfWfc,482,1:01,1,UCMUWLmu8UENZxSJEFMDicJA
6,How To Get Rappers To Buy Your Beats (2023),https://www.youtube.com/watch?v=EZCXNzWDEYo,506,1:27,1,UCMUWLmu8UENZxSJEFMDicJA
21,What Michael Jordan And Kobe Bryant’s Friendship Taught Me,https://www.youtube.com/watch?v=CdbaPjt1Y2U,544,1:56,1,UCMUWLmu8UENZxSJEFMDicJA
3,This Book Is A Must Read For Every Business Owner (2023),https://www.youtube.com/watch?v=Y0tjOj5fC_s,544,1:57,1,UCMUWLmu8UENZxSJEFMDicJA
5,Any Producer Without A YouTube Channel Is A Bum,https://www.youtube.com/watch?v=bYAOuepAZ24,600,1:42,1,UCMUWLmu8UENZxSJEFMDicJA
1,Black Businesses Have This Advantage Over White Businesses,https://www.youtube.com/watch?v=xlGO6ZDoGRQ,756,2:45,1,UCMUWLmu8UENZxSJEFMDicJA
11,Dorian - Tennessee (Official Audio - Lyrics In Description),https://www.youtube.com/watch?v=iuOIfeVa1oc,761,3:34,1,UCMUWLmu8UENZxSJEFMDicJA
20,"The Truth About Running A $1,000,000 Business",https://www.youtube.com/watch?v=RTBs7NxPF7k,763,1:18,1,UCMUWLmu8UENZxSJEFMDicJA
2,The #1 Reason All Black Businesses Fail,https://www.youtube.com/watch?v=smQbNj2FGR4,789,2:31,1,UCMUWLmu8UENZxSJEFMDicJA
43,Every Black Barber Needs This Side Hustle (2023),https://www.youtube.com/watch?v=K1IK7jOKt9E,811,5:10,1,UCMUWLmu8UENZxSJEFMDicJA
17,💰 How Rappers Can Get Forever Money From Skillshare,https://www.youtube.com/watch?v=QHJzA-0_YeY,815,2:12,1,UCMUWLmu8UENZxSJEFMDicJA
55,How To Invest In Index Funds For Rappers,https://www.youtube.com/watch?v=PTuTPlnxru8,833,9:36,1,UCMUWLmu8UENZxSJEFMDicJA
35,"How I Made My First $100,000 At 37",https://www.youtube.com/watch?v=F7qh5_fbsHk,886,4:01,1,UCMUWLmu8UENZxSJEFMDicJA
54,How To Buy Stocks For Rappers,https://www.youtube.com/watch?v=fQiRRwks_RI,926,15:07,1,UCMUWLmu8UENZxSJEFMDicJA
7,How To Get Scouted By Record Labels (2023),https://www.youtube.com/watch?v=4XI_diIvEoU,940,1:14,1,UCMUWLmu8UENZxSJEFMDicJA
26,"📈 How I Got 3,000,000 Streams On Spotify #spotify #artist #rap #rappers #marketing #music",https://www.youtube.com/watch?v=BYzu4YhnRCs,940,1:01,1,UCMUWLmu8UENZxSJEFMDicJA
50,Learn This High-Paying Side Hustle In 3 Minutes,https://www.youtube.com/watch?v=OHhH3GnFafw,1007,3:15,1,UCMUWLmu8UENZxSJEFMDicJA
22,50 Cent Taught Me To Never Outshine Your OG’s,https://www.youtube.com/watch?v=zrEf7R8l2Jk,1023,1:16,1,UCMUWLmu8UENZxSJEFMDicJA
8,Draymond Green Rips On Teammates In Private NBA Workout,https://www.youtube.com/watch?v=pPosKM7yCPY,1037,7:45,1,UCMUWLmu8UENZxSJEFMDicJA
34,"How I Will Make My First $1,000,000 At 40",https://www.youtube.com/watch?v=QVTB7l__I5g,1047,10:01,1,UCMUWLmu8UENZxSJEFMDicJA
4,Music Industry Secrets EXPOSED: YouTube Marketing,https://www.youtube.com/watch?v=jiK_V9AZMwc,1050,1:45,1,UCMUWLmu8UENZxSJEFMDicJA
12,💰 How Rappers Can Make More Money On Spotify,https://www.youtube.com/watch?v=pAz5evH9w6c,1054,1:52,1,UCMUWLmu8UENZxSJEFMDicJA
13,💰 How Rappers Make More Money From Video Content,https://www.youtube.com/watch?v=SJZsITLtw1g,1099,2:19,1,UCMUWLmu8UENZxSJEFMDicJA
45,The Easiest Work From Home Job For Black People (Non Phone Work 2023),https://www.youtube.com/watch?v=OcGR8buzaoI,1114,3:32,1,UCMUWLmu8UENZxSJEFMDicJA
60,$96B Crypto Billionaire Buys $200M Stake In Forbes 💰 #crypto #binance #forbes #spac #investing,https://www.youtube.com/watch?v=QJlEyA9_1AM,1193,1:01,1,UCMUWLmu8UENZxSJEFMDicJA
233,Did Ice T Invent Music Blogs?,https://www.youtube.com/watch?v=Z05HkwF-0Es,1238,6:57,1,UCMUWLmu8UENZxSJEFMDicJA
58,"How To Make The Most Money From YouTube Ads, Part 1",https://www.youtube.com/watch?v=oySUWU9Ltlo,1249,1:01,1,UCMUWLmu8UENZxSJEFMDicJA
51,"Make $30,000 A Day With This Side Hustle In 2023",https://www.youtube.com/watch?v=UK_7wCaWIe0,1371,3:20,1,UCMUWLmu8UENZxSJEFMDicJA
18,💰 7 Websites That Pay Rappers Consistently,https://www.youtube.com/watch?v=WKLbi_pEMh0,1421,2:11,1,UCMUWLmu8UENZxSJEFMDicJA
16,Top 3 Reasons Black Businesses Fail,https://www.youtube.com/watch?v=lzsizGCxvV4,1439,9:40,1,UCMUWLmu8UENZxSJEFMDicJA
56,How To Invest In Stocks Using Rap Analogies,https://www.youtube.com/watch?v=YGUFFpH-yEg,1465,38:14,1,UCMUWLmu8UENZxSJEFMDicJA
44,The Best Work From Home Job No One Talks About (2023),https://www.youtube.com/watch?v=DTKhywKxBgs,1480,4:11,1,UCMUWLmu8UENZxSJEFMDicJA
49,Exposed: Most Slept On Side Hustle In 2023,https://www.youtube.com/watch?v=Oi-M-oSW6FQ,1510,3:25,1,UCMUWLmu8UENZxSJEFMDicJA
0,Ja Morant Is The NBA's Young Thug,https://www.youtube.com/watch?v=Wxz5HtZPglo,1523,13:01,1,UCMUWLmu8UENZxSJEFMDicJA
29,😳 Cash Money Sent Lawyers After JAY Z Over Lil Wayne #rap #rappers #jayz #lilwayne #music #marketing,https://www.youtube.com/watch?v=iVctLhWsYCw,1554,1:01,1,UCMUWLmu8UENZxSJEFMDicJA
48,How To Make Money Online In 3 Minutes (2023),https://www.youtube.com/watch?v=YnSG10T5qXs,1555,3:46,1,UCMUWLmu8UENZxSJEFMDicJA
37,"How I Made My First $1,000 At 32",https://www.youtube.com/watch?v=ftYZjIOG6iE,1578,9:38,1,UCMUWLmu8UENZxSJEFMDicJA
36,"How I Made My First $10,000 At 34",https://www.youtube.com/watch?v=_p6iGN8YLH4,1626,10:25,1,UCMUWLmu8UENZxSJEFMDicJA
53,Inflation Explained To Rappers In 3 Minutes,https://www.youtube.com/watch?v=py-zU1lnBRk,1630,3:38,1,UCMUWLmu8UENZxSJEFMDicJA
19,"J. Cole Gifts YouTube Producer $100,000 Verse",https://www.youtube.com/watch?v=mMDJp3cv8V0,1732,8:06,1,UCMUWLmu8UENZxSJEFMDicJA
42,How Black People Can Make Money On YouTube (FREE & EASY),https://www.youtube.com/watch?v=TgTWE5QQ0Hs,1865,8:15,1,UCMUWLmu8UENZxSJEFMDicJA
25,31 Ways Producers Get Paid WITHOUT Rappers,https://www.youtube.com/watch?v=zg6dAwH-1Xw,1885,15:22,1,UCMUWLmu8UENZxSJEFMDicJA
47,Easiest Side Hustle To Make Money Today (2023),https://www.youtube.com/watch?v=-V14oB6qsnk,1899,3:35,1,UCMUWLmu8UENZxSJEFMDicJA
28,😳 JAY Z EXPOSES Why He Left Def Jam #rap #rappers #music #marketing #jayz,https://www.youtube.com/watch?v=QjH9zSYUPAo,1968,1:01,1,UCMUWLmu8UENZxSJEFMDicJA
245,Did Mark Cuban Invent Streaming,https://www.youtube.com/watch?v=DF-fbqzRN9I,2168,12:02,1,UCMUWLmu8UENZxSJEFMDicJA
40,“No Soul Is Above A No” @Chrisbrownofficial ft. @doriangroup82 #chrisbrown,https://www.youtube.com/watch?v=lR-x-GQPhi8,2400,1:12,1,UCMUWLmu8UENZxSJEFMDicJA
62,Grant Cardone EXPOSES How Banks FINESSE Customers 😳 #grantcardone #howbanksmakemoney #finance,https://www.youtube.com/watch?v=R9hFOnlE6jc,2472,1:01,1,UCMUWLmu8UENZxSJEFMDicJA
240,Millionaire Ryan Leslie On The Power of Contacts And Capital,https://www.youtube.com/watch?v=8BP-S1mrxho,2519,8:40,1,UCMUWLmu8UENZxSJEFMDicJA
64,"Uber Stole My Headphones. If you rock with me, Report Them.",https://www.youtube.com/watch?v=Hn9gVNmL8aY,2569,1:29,1,UCMUWLmu8UENZxSJEFMDicJA
252,How Kobe Bryant Wants To Be Remembered,https://www.youtube.com/watch?v=UL-UNBpAGVM,2605,7:50,1,UCMUWLmu8UENZxSJEFMDicJA
59,5 Best Crypto Coins For Beginners To Invest In (Best Crypto To Buy Now In 2023),https://www.youtube.com/watch?v=dN-7D6Yct1k,2881,28:31,1,UCMUWLmu8UENZxSJEFMDicJA
38,"How I Flipped $300 To $300,000 Selling Spotify Playlists",https://www.youtube.com/watch?v=9IXBvhbZNgg,3053,37:10,1,UCMUWLmu8UENZxSJEFMDicJA
107,How A Cop Saved Lil Wayne's Life,https://www.youtube.com/watch?v=E2QODnhRFPc,3320,17:07,1,UCMUWLmu8UENZxSJEFMDicJA
31,8 HIGHEST PAYING JOBS You Can Do At Home WITHOUT COLLEGE,https://www.youtube.com/watch?v=c2Vu6NGFH1Q,3360,14:17,1,UCMUWLmu8UENZxSJEFMDicJA
39,"How Russ Sold Over 1,000,000 records Spending $0 😱 #russ",https://www.youtube.com/watch?v=9UO2onwSPJs,3445,1:27,1,UCMUWLmu8UENZxSJEFMDicJA
24,💰 55 Bags Rappers Can Get WITHOUT A Record Deal (2023),https://www.youtube.com/watch?v=rUyfWwJMwUU,3493,10:29,1,UCMUWLmu8UENZxSJEFMDicJA
83,How The Pandemic Ruined Classic Albums,https://www.youtube.com/watch?v=5q4bL5ef8A4,3504,3:43,1,UCMUWLmu8UENZxSJEFMDicJA
14,Here’s Proof Wallo Warned Young Thug About RICO Case,https://www.youtube.com/watch?v=9nUKlH0Fb9E,3615,7:42,1,UCMUWLmu8UENZxSJEFMDicJA
249,Mark Cuban's Advice To College Graduates,https://www.youtube.com/watch?v=NMhFpBr6wq8,3634,7:31,1,UCMUWLmu8UENZxSJEFMDicJA
57,Tupac On The Social Responsibility Of Rappers,https://www.youtube.com/watch?v=Shup4Auafdc,3800,1:01,1,UCMUWLmu8UENZxSJEFMDicJA
41,Is NLE Choppa The Smartest Rapper? 🏷 Tags #musicmarketing #musicpromotion 🦆,https://www.youtube.com/watch?v=LrRo7Lb7CeA,3803,1:01,1,UCMUWLmu8UENZxSJEFMDicJA
290,Dr. Dre Says He Still Can Be A Better Producer,https://www.youtube.com/watch?v=YL2pKsWlUms,4168,3:50,1,UCMUWLmu8UENZxSJEFMDicJA
152,Gillie Praises Young Dolph For Believing In Key Glock,https://www.youtube.com/watch?v=nwF7mk6EmhE,4429,9:08,1,UCMUWLmu8UENZxSJEFMDicJA
274,Eminem Was Homeless When He Met Dr. Dre (Animated),https://www.youtube.com/watch?v=LZKpLYvp3qE,4506,2:20,1,UCMUWLmu8UENZxSJEFMDicJA
266,"The Story Behind These Photos of Drake, J Cole and Lil Wayne",https://www.youtube.com/watch?v=f92ANeQlNmo,4582,7:08,1,UCMUWLmu8UENZxSJEFMDicJA
103,Adobe Premiere Pro Tutorial: How To Edit Hyper Narration Style For Beginners,https://www.youtube.com/watch?v=aY1Whmua8kY,4723,8:11,1,UCMUWLmu8UENZxSJEFMDicJA
273,Lionel Richie's Songwriting Process,https://www.youtube.com/watch?v=PeiDfX11rLE,4748,6:46,1,UCMUWLmu8UENZxSJEFMDicJA
