,video_title,video_link,video_views,video_duration,video_availability,channel_id
213,How To Increase The Price Of A Product,https://www.youtube.com/watch?v=AeXTRO9V5BQ,99,4:36,1,UC062X1VdOLH7wHTEZZ6Q74w
147,Marketing Yourself On Clubhouse,https://www.youtube.com/watch?v=RfKZPbs75zI,110,7:30,1,UC062X1VdOLH7wHTEZZ6Q74w
155,What Is Gamified Learning?,https://www.youtube.com/watch?v=TLhKbAFnRHk,119,6:09,1,UC062X1VdOLH7wHTEZZ6Q74w
84,What Makes An Effective Email Sequence?,https://www.youtube.com/watch?v=scT4V6WEKAQ,128,6:49,1,UC062X1VdOLH7wHTEZZ6Q74w
132,How To Change The Thumbnail On A YouTube Video,https://www.youtube.com/watch?v=JiccbAE5_hY,131,5:51,1,UC062X1VdOLH7wHTEZZ6Q74w
166,How To Get Over Fear Of Public Speaking,https://www.youtube.com/watch?v=sw0-eCMmTu4,142,8:12,1,UC062X1VdOLH7wHTEZZ6Q74w
209,What Strategies Would You Use To Generate Leads?,https://www.youtube.com/watch?v=tp5mJHPB0-k,146,7:48,1,UC062X1VdOLH7wHTEZZ6Q74w
69,When To Give Your Mentors The Axe,https://www.youtube.com/watch?v=OZB_28InC4M,147,8:58,1,UC062X1VdOLH7wHTEZZ6Q74w
72,"He Made $12,000 Before He Even Dropped His Offer",https://www.youtube.com/watch?v=mZbtfuAF51A,154,9:35,1,UC062X1VdOLH7wHTEZZ6Q74w
138,How To Get Noticed On Clubhouse,https://www.youtube.com/watch?v=Hl6sCxnyrMM,154,6:42,1,UC062X1VdOLH7wHTEZZ6Q74w
70,Why You Need To Work Less To Be A Better Boss,https://www.youtube.com/watch?v=2ToknbfAZlo,155,8:36,1,UC062X1VdOLH7wHTEZZ6Q74w
108,What Is A Nurture Sequence?,https://www.youtube.com/watch?v=LpNv6getxzY,160,8:49,1,UC062X1VdOLH7wHTEZZ6Q74w
62,3 Tips For Hiring A Sales Team When You’re An Online Coach,https://www.youtube.com/watch?v=5m6rvHC6xNM,160,13:07,1,UC062X1VdOLH7wHTEZZ6Q74w
129,Three Ways To Optimize Your Clubhouse Experience,https://www.youtube.com/watch?v=GxCDzITAvls,162,7:13,1,UC062X1VdOLH7wHTEZZ6Q74w
145,How To Create An Engaging Facebook Group,https://www.youtube.com/watch?v=9c_pz6WgSZk,162,7:09,1,UC062X1VdOLH7wHTEZZ6Q74w
54,How Making A Million Dollars Changed Me,https://www.youtube.com/watch?v=1Lb1o6Q0gPc,165,9:36,1,UC062X1VdOLH7wHTEZZ6Q74w
152,How To Moderate A Clubhouse Room,https://www.youtube.com/watch?v=ZW_x0LmlcJs,169,6:22,1,UC062X1VdOLH7wHTEZZ6Q74w
71,Steps I’m Taking To Manifest My Dream Life,https://www.youtube.com/watch?v=FGI5MadBKvA,170,10:48,1,UC062X1VdOLH7wHTEZZ6Q74w
146,How To Become More Confident In Public Speaking,https://www.youtube.com/watch?v=SqNfxR-hEGs,171,6:34,1,UC062X1VdOLH7wHTEZZ6Q74w
95,How Not To Be Nervous While Public Speaking,https://www.youtube.com/watch?v=y88AEGa9FFw,177,8:00,1,UC062X1VdOLH7wHTEZZ6Q74w
87,How To Get Leads From YouTube,https://www.youtube.com/watch?v=yG0Z8CwBSKw,177,8:31,1,UC062X1VdOLH7wHTEZZ6Q74w
55,What Questions Should You Ask Yourself Before Starting A Business?,https://www.youtube.com/watch?v=o8TTiiDNCHA,178,9:35,1,UC062X1VdOLH7wHTEZZ6Q74w
143,How Long Does It Take To Develop An Online Course?,https://www.youtube.com/watch?v=ttNRPwpRchU,181,8:36,1,UC062X1VdOLH7wHTEZZ6Q74w
83,How To Engage An Audience In Public Speaking,https://www.youtube.com/watch?v=Ip5Oi_AghQU,182,7:37,1,UC062X1VdOLH7wHTEZZ6Q74w
153,How To Gamify Your Business,https://www.youtube.com/watch?v=cF64VPDhMmA,183,8:20,1,UC062X1VdOLH7wHTEZZ6Q74w
157,How To Host A Virtual Event,https://www.youtube.com/watch?v=nc0RQEtx1UE,183,13:41,1,UC062X1VdOLH7wHTEZZ6Q74w
159,Content Machine Live Vlog,https://www.youtube.com/watch?v=11JXwonj_gM,184,11:48,1,UC062X1VdOLH7wHTEZZ6Q74w
46,Letting Go Of Control To Become A Better Leader,https://www.youtube.com/watch?v=N-utV2Al_EY,187,7:46,1,UC062X1VdOLH7wHTEZZ6Q74w
81,Does YouTube Pay You?,https://www.youtube.com/watch?v=ZmgszP8QGNs,188,7:40,1,UC062X1VdOLH7wHTEZZ6Q74w
98,How To Make A Good Thumbnail For YouTube,https://www.youtube.com/watch?v=qVN1GEHK37s,191,9:39,1,UC062X1VdOLH7wHTEZZ6Q74w
150,How To Earn Money From YouTube Without AdSense,https://www.youtube.com/watch?v=IZKhzSFgbwg,193,9:56,1,UC062X1VdOLH7wHTEZZ6Q74w
66,How To Increase Recurring Revenue,https://www.youtube.com/watch?v=WGTPhRRGS6I,194,10:58,1,UC062X1VdOLH7wHTEZZ6Q74w
214,How To Be Confident In Front Of A Camera,https://www.youtube.com/watch?v=QN7uOGJR4Dc,195,6:38,1,UC062X1VdOLH7wHTEZZ6Q74w
65,7-Figure Entrepreneur Self-Care Routine,https://www.youtube.com/watch?v=AfToMnfovCo,198,10:16,1,UC062X1VdOLH7wHTEZZ6Q74w
208,How To Design A Sales Funnel That Converts,https://www.youtube.com/watch?v=jYX22vNZT8A,201,10:03,1,UC062X1VdOLH7wHTEZZ6Q74w
85,How To Market Coaching Services,https://www.youtube.com/watch?v=NFxfSNXQNNs,201,10:34,1,UC062X1VdOLH7wHTEZZ6Q74w
79,How I Got Russell Brunson To Speak At My Event,https://www.youtube.com/watch?v=t1O6CgrxApo,204,8:34,1,UC062X1VdOLH7wHTEZZ6Q74w
140,Do Lead Magnets Work?,https://www.youtube.com/watch?v=b0-f0fOVxb8,205,6:23,1,UC062X1VdOLH7wHTEZZ6Q74w
240,How Far In Advance Should You Promote A Webinar,https://www.youtube.com/watch?v=floAsGJLMlU,205,6:36,1,UC062X1VdOLH7wHTEZZ6Q74w
230,How To Use YouTube For Marketing Your Business,https://www.youtube.com/watch?v=a7EGgf8cvTU,206,10:26,1,UC062X1VdOLH7wHTEZZ6Q74w
77,3 Things You  Can Do Right Now To Get More High-Ticket Clients,https://www.youtube.com/watch?v=HeJ6Lc_irIE,208,10:38,1,UC062X1VdOLH7wHTEZZ6Q74w
88,How To Build An Email List From Scratch,https://www.youtube.com/watch?v=ru_Y9mH8FjQ,213,7:15,1,UC062X1VdOLH7wHTEZZ6Q74w
171,What Is A Call To Action In Marketing,https://www.youtube.com/watch?v=BpIUImr-zFY,215,5:12,1,UC062X1VdOLH7wHTEZZ6Q74w
160,How To Create A Lead Nurturing Campaign,https://www.youtube.com/watch?v=MiHORyL0ovY,216,7:06,1,UC062X1VdOLH7wHTEZZ6Q74w
61,How I Was 6 Figures In Debt While Making 7 Figures,https://www.youtube.com/watch?v=m87Pym-us04,218,12:06,1,UC062X1VdOLH7wHTEZZ6Q74w
50,The Most Expensive Lessons I've Learned In Business,https://www.youtube.com/watch?v=p3EgCxX3JF0,221,10:41,1,UC062X1VdOLH7wHTEZZ6Q74w
175,What Type Of Content Is The Best For Driving Revenue?,https://www.youtube.com/watch?v=CIMV7sSCLIY,223,8:21,1,UC062X1VdOLH7wHTEZZ6Q74w
74,Why Teaching And Coaching Are Not The Same Thing,https://www.youtube.com/watch?v=I9VdEHxXmEM,226,8:02,1,UC062X1VdOLH7wHTEZZ6Q74w
141,How To Generate Leads On Facebook,https://www.youtube.com/watch?v=qBqspsUckH0,226,7:12,1,UC062X1VdOLH7wHTEZZ6Q74w
247,Pros And Cons Of Having A Remote Workforce,https://www.youtube.com/watch?v=rRO3iZZ7rPg,227,10:55,1,UC062X1VdOLH7wHTEZZ6Q74w
48,The Worst Things About Entrepreneurship No One Tells You About,https://www.youtube.com/watch?v=t_sOgKrulfg,227,9:07,1,UC062X1VdOLH7wHTEZZ6Q74w
212,How To Create A Lead Magnet,https://www.youtube.com/watch?v=5UvOh2JZoSc,230,6:10,1,UC062X1VdOLH7wHTEZZ6Q74w
