,video_title,video_link,video_views,video_duration,video_availability,channel_id
15,The 100 Million Dollar Intervention [Advice From Alex & Leila Hormozi That KILLED Our Business],https://www.youtube.com/watch?v=UtfJT8XgGiI,1414,19:06,1,UC062X1VdOLH7wHTEZZ6Q74w
21,What Your YouTube Channel Says About You,https://www.youtube.com/watch?v=AARoPhjfnLg,1452,9:58,1,UC062X1VdOLH7wHTEZZ6Q74w
17,Why Your Videos Aren’t Working | Authenticity & Story | How To Get More Views On YouTube,https://www.youtube.com/watch?v=uV2oHOCknz8,1628,12:58,1,UC062X1VdOLH7wHTEZZ6Q74w
36,How To Never Be Boring No Matter The Topic,https://www.youtube.com/watch?v=a32rL478iMM,1652,9:42,1,UC062X1VdOLH7wHTEZZ6Q74w
11,My Content Marketing Strategy: Simple Videos That Make Millions,https://www.youtube.com/watch?v=7vtSEdIElLw,1745,8:11,1,UC062X1VdOLH7wHTEZZ6Q74w
14,Why I Refused Conventional Treatment & What I Did To Heal Cancer Naturally,https://www.youtube.com/watch?v=NkBj2lkLWx0,1772,21:21,1,UC062X1VdOLH7wHTEZZ6Q74w
1,"From Dental Hygienist To $3,200,000: The Truth..",https://www.youtube.com/watch?v=u0pJ59nPgmY,2559,29:42,1,UC062X1VdOLH7wHTEZZ6Q74w
29,#1 Secret To Storytelling,https://www.youtube.com/watch?v=amF2uDBIIe0,3043,11:21,1,UC062X1VdOLH7wHTEZZ6Q74w
3,A Better Way Than Starting a Side Hustle - Insights from Brian Page,https://www.youtube.com/watch?v=VYtG5BbFFz0,3300,27:51,1,UC062X1VdOLH7wHTEZZ6Q74w
20,I Refused Cancer Treatment | My Cancer Story,https://www.youtube.com/watch?v=YMjqKj-ksTQ,4471,26:04,1,UC062X1VdOLH7wHTEZZ6Q74w
