,video_title,video_link,video_views,video_duration,video_availability,channel_id
85,"PODCAST: Benjamin Lieber On Creating Great Videos, Designs And Music",https://www.youtube.com/watch?v=aAuEj3l4bVw,1044,42:54,1,UC0a-qcXVlh4Teya-EiEz-GA
89,PODCAST: How To Choose A Record Producer with Johnny Minardi (Everything You Didn't Think About),https://www.youtube.com/watch?v=6pfg5uF6N8g,1054,38:46,1,UC0a-qcXVlh4Teya-EiEz-GA
16,Improving Musicians Mailing List Blasts,https://www.youtube.com/watch?v=Rxz2PNiwWNY,2336,24:15,1,UC0a-qcXVlh4Teya-EiEz-GA
80,"Why Your Favorite Artists Blow Up From Remixes, Acoustic Versions & Features // MUSIC MARKETING",https://www.youtube.com/watch?v=Fbql0ENradQ,2415,10:04,1,UC0a-qcXVlh4Teya-EiEz-GA
63,How Emojis Help You Market Music With Jamie Coletta of No EarBuds,https://www.youtube.com/watch?v=UI__NyYParI,2972,47:49,1,UC0a-qcXVlh4Teya-EiEz-GA
40,How To Make New Fans From Your Existing Fans // Music Promotion,https://www.youtube.com/watch?v=2zM_RXwYaHY,3014,8:40,1,UC0a-qcXVlh4Teya-EiEz-GA
75,Bartees Strange On How ‘Live Forever' Was Made,https://www.youtube.com/watch?v=6jLVxsNmvms,3020,43:38,1,UC0a-qcXVlh4Teya-EiEz-GA
83,The Music Marketing Lessons I Learned From One Year On YouTube,https://www.youtube.com/watch?v=V_2GBVAqxN8,3080,10:12,1,UC0a-qcXVlh4Teya-EiEz-GA
25,Do Majors Labels Really Control Spotify Playlists?,https://www.youtube.com/watch?v=uHeYfJiImJs,3221,6:40,1,UC0a-qcXVlh4Teya-EiEz-GA
29,STOP SAYING 60k SONGS ARE UPLOADED TO SPOTIFY A DAY!,https://www.youtube.com/watch?v=L7PFElNIc-M,3306,1:15,1,UC0a-qcXVlh4Teya-EiEz-GA
15,Improving Musicians Websites,https://www.youtube.com/watch?v=Vr2no6v2rsY,3435,37:57,1,UC0a-qcXVlh4Teya-EiEz-GA
65,Meet The Streaming Music Site That Pays Artists Fairly,https://www.youtube.com/watch?v=yl2vi_Bc8Ok,3582,30:05,1,UC0a-qcXVlh4Teya-EiEz-GA
62,Only Idiots Talk About Industry Plants!,https://www.youtube.com/watch?v=EUYA8xL8xDY,3611,20:49,1,UC0a-qcXVlh4Teya-EiEz-GA
59,The Most Important Things To Do At Your Next Show,https://www.youtube.com/watch?v=mX_YqICM6DA,3945,13:19,1,UC0a-qcXVlh4Teya-EiEz-GA
22,What's Really Happening With Halsey And Posting On TikTok,https://www.youtube.com/watch?v=2mybVP9MSVk,3968,12:16,1,UC0a-qcXVlh4Teya-EiEz-GA
50,Move To Another City For Your Music Career,https://www.youtube.com/watch?v=QGt-m-KVMgY,4187,9:52,1,UC0a-qcXVlh4Teya-EiEz-GA
30,Spotify Now Matches Your Song With Listeners Like Tinder // SPOTIFY ALGORITHM,https://www.youtube.com/watch?v=gK8kyuHoEXs,4264,1:25,1,UC0a-qcXVlh4Teya-EiEz-GA
79,The Best Way To Release Music In 2021 // YOUR QUESTIONS ANSWERED!,https://www.youtube.com/watch?v=mphOoJl4_48,5101,10:33,1,UC0a-qcXVlh4Teya-EiEz-GA
33,Instagram Isn't Dying It's An Extension Of TikTok // MUSIC MARKETING,https://www.youtube.com/watch?v=ue-WDW9E9Aw,5239,13:25,1,UC0a-qcXVlh4Teya-EiEz-GA
21,The Difference Between Successful & Unsuccessful Musicians,https://www.youtube.com/watch?v=coRr4GKG-1M,5299,9:11,1,UC0a-qcXVlh4Teya-EiEz-GA
51,How Musicians Effectively Spread Their Content,https://www.youtube.com/watch?v=_7sZ_zFdigY,5337,7:25,1,UC0a-qcXVlh4Teya-EiEz-GA
20,Destroying Boomer Music Takes,https://www.youtube.com/watch?v=npVXcUylapE,5688,14:38,1,UC0a-qcXVlh4Teya-EiEz-GA
34,How To Promote Your Old Songs // MUSIC MARKETING,https://www.youtube.com/watch?v=OV4FYkc_4Vo,5775,11:09,1,UC0a-qcXVlh4Teya-EiEz-GA
27,BETTER THAN VINYL? T Bone Burnett's New Audio Format Ionic Original 🤔,https://www.youtube.com/watch?v=wemRxRHTZl4,6019,7:12,1,UC0a-qcXVlh4Teya-EiEz-GA
53,Who Is Jesse Cannon? What Is Musformation?,https://www.youtube.com/watch?v=qdR9YWUfgcw,6229,3:34,1,UC0a-qcXVlh4Teya-EiEz-GA
60,"Why Olivia Rodrigo Didn't Steal From Taylor Swift, Paramore or Courtney Love",https://www.youtube.com/watch?v=ovQhaP4ZHLA,6749,11:10,1,UC0a-qcXVlh4Teya-EiEz-GA
38,How Musicians Build The Best Link In Bio w/ Koji,https://www.youtube.com/watch?v=nK6278d6lZI,6931,8:15,1,UC0a-qcXVlh4Teya-EiEz-GA
