,video_title,video_link,video_views,video_duration,video_availability,channel_id
337,New Wave beat prod. by LetThatBoyCookBeats - Speed @ the myFlashStore Marketplace,https://www.youtube.com/watch?v=ri0u4KmKpNk,74,3:13,1,UCUNKXrLFsNmGYcl1w19JLaA
329,Hip Hop beat prod. by Nemisisbeats - First Flight Out @ the myFlashStore Marketplace,https://www.youtube.com/watch?v=4Dv5Rlbcxlc,82,4:05,1,UCUNKXrLFsNmGYcl1w19JLaA
334,Mac Miller type Rap beat prod. by Melori - We Know @ the myFlashStore Marketplace,https://www.youtube.com/watch?v=7nkA5q5onxY,86,4:21,1,UCUNKXrLFsNmGYcl1w19JLaA
344,Hip Hop beat prod. by 1st Official - By Design @ the myFlashStore Marketplace,https://www.youtube.com/watch?v=EvsowtGTLz0,90,2:58,1,UCUNKXrLFsNmGYcl1w19JLaA
312,Future type Hip Hop beat prod. by AndreOnBeat - Common @ the myFlashStore Marketplace,https://www.youtube.com/watch?v=xe1WGnFGvoA,95,5:00,1,UCUNKXrLFsNmGYcl1w19JLaA
251,Rap beat prod. by Sherron Foster - Ecstatic @ the myFlashStore Marketplace,https://www.youtube.com/watch?v=UwEjsdH1iLc,96,5:31,1,UCUNKXrLFsNmGYcl1w19JLaA
320,Wiz Khalifa / Post Malone type Hip Hop beat prod. by Chris ØG - Abstract,https://www.youtube.com/watch?v=fTDRXCNAt1I,109,3:43,1,UCUNKXrLFsNmGYcl1w19JLaA
318,Hip Hop beat prod. by UnusualBeatz - No More War @ the myFlashStore Marketplace,https://www.youtube.com/watch?v=zYysLVjC9Ms,109,4:07,1,UCUNKXrLFsNmGYcl1w19JLaA
40,Setting Up Your Backup Email & Phone Number on Airbit,https://www.youtube.com/watch?v=p4G-vQ0WdgE,113,1:59,1,UCUNKXrLFsNmGYcl1w19JLaA
286,Hip Hop beat prod. by I Am Music Productions - MoneyBags @ the myFlashStore Marketplace,https://www.youtube.com/watch?v=Z2edad7o7b0,113,2:44,1,UCUNKXrLFsNmGYcl1w19JLaA
