,video_title,video_link,video_views,video_duration,video_availability,channel_id
51,Tutorial for Uploading Beats on Airbit,https://www.youtube.com/watch?v=jCYjdol3wJQ,3662,14:11,1,UCUNKXrLFsNmGYcl1w19JLaA
32,WE'VE IMPROVED OUR PRICES 🤯,https://www.youtube.com/watch?v=-mKLvotdMWE,3825,2:07,1,UCUNKXrLFsNmGYcl1w19JLaA
50,How to Make Money With Sound Packs: The BEST Alternative to Selling Beats?,https://www.youtube.com/watch?v=_qg7NLk3eMg,4436,10:17,1,UCUNKXrLFsNmGYcl1w19JLaA
17,Instagram Content Ideas for Music Producers in 2022 | Music Marketing,https://www.youtube.com/watch?v=wsDNxSeKA_k,4517,6:15,1,UCUNKXrLFsNmGYcl1w19JLaA
61,Beat Licensing 101,https://www.youtube.com/watch?v=eEuqfmgC0l4,5017,7:15,1,UCUNKXrLFsNmGYcl1w19JLaA
67,Yung Lan on Signing to a Publishing Deal and Advice For Getting Placements (Full Interview),https://www.youtube.com/watch?v=Jg-0vZo6sXg,5875,14:09,1,UCUNKXrLFsNmGYcl1w19JLaA
34,Everything You Need to Know About YouTube Content ID,https://www.youtube.com/watch?v=yAYe9jeN9kg,6902,12:19,1,UCUNKXrLFsNmGYcl1w19JLaA
65,How to Make Money as a Music Producer: 3 Income Streams You Need to Take Advantage of (2022),https://www.youtube.com/watch?v=0GHQCCfHfd8,7206,9:16,1,UCUNKXrLFsNmGYcl1w19JLaA
12,How to Promote Your Music on Tiktok in 2022 | Music Marketing,https://www.youtube.com/watch?v=5ak29Lr4LVs,9298,7:25,1,UCUNKXrLFsNmGYcl1w19JLaA
38,How to Grow Your Instagram as a Music Producer in 2022 | Music Marketing,https://www.youtube.com/watch?v=QNFRbACfNjc,11951,13:13,1,UCUNKXrLFsNmGYcl1w19JLaA
60,The Ultimate Guide to Getting Sync Licenses,https://www.youtube.com/watch?v=P0l8lDNgAFI,28390,15:20,1,UCUNKXrLFsNmGYcl1w19JLaA
