,video_title,video_link,video_views,video_duration,video_availability,channel_id
3,Best FREE Podcast Mic 2023 | YES I SAID FREE! (Not Clickbait),https://www.youtube.com/watch?v=Q_pjtCWux0k,1276,5:01,1,UCdWdS4LAtv0HvnyLUs0GrKg
105,Selling Out Historical Venues with The Foons | Sell Music Masterclass Student Spotlight,https://www.youtube.com/watch?v=A9-EuovtC8g,1484,25:04,1,UCdWdS4LAtv0HvnyLUs0GrKg
25,From Punk Rock To The Country Charts | Shifting Into Momentum with Justin Mattock,https://www.youtube.com/watch?v=ukvA_8Lmv9M,1568,19:37,1,UCdWdS4LAtv0HvnyLUs0GrKg
11,Staying Productive During The Holidays | 5 Easy Steps,https://www.youtube.com/watch?v=pocfoP9pi2Y,2412,6:23,1,UCdWdS4LAtv0HvnyLUs0GrKg
122,Going Full Time As A Music Producer with H3NRY | Sell Music Masterclass Student Spotlight,https://www.youtube.com/watch?v=n1F0wP8xGjc,2494,19:34,1,UCdWdS4LAtv0HvnyLUs0GrKg
4,How To Get More Instagram Engagement In 2023 | NEW VIP Group Feature!,https://www.youtube.com/watch?v=Qgl7qjXrF6s,2573,3:56,1,UCdWdS4LAtv0HvnyLUs0GrKg
55,Climbing The Pop Charts With Sell Music Masterclass Student Renae Rain,https://www.youtube.com/watch?v=IUImvnIJj1M,2584,23:43,1,UCdWdS4LAtv0HvnyLUs0GrKg
117,How To Reduce Neck & Back Pain As A Creator,https://www.youtube.com/watch?v=CpNSaBNQzUU,2654,10:35,1,UCdWdS4LAtv0HvnyLUs0GrKg
0,5 Deadly Mistakes Killing Music Careers | Avoid These ASAP!,https://www.youtube.com/watch?v=oBtDFpgd-pI,2772,3:59,1,UCdWdS4LAtv0HvnyLUs0GrKg
62,The Power Of Music Marketing | From Music Career to Healthcare Reform Advocate with Max Feinstein,https://www.youtube.com/watch?v=1kyu0gEyjdk,2791,24:12,1,UCdWdS4LAtv0HvnyLUs0GrKg
110,Doing Music Full Time With Jassl Productions | Sell Music Masterclass Student Spotlight,https://www.youtube.com/watch?v=y0s8Z7E0Ys4,2802,23:25,1,UCdWdS4LAtv0HvnyLUs0GrKg
9,Make Sales On Social Media | Easily Sell Digital Products With Koji,https://www.youtube.com/watch?v=FoKI2U4GGwM,3058,2:56,1,UCdWdS4LAtv0HvnyLUs0GrKg
127,"10,000 Fans On TikTok in 60 Days with Joel Robertson | Sell Music Masterclass Student Spotlight",https://www.youtube.com/watch?v=LH_0ZtpMwZ4,3180,22:48,1,UCdWdS4LAtv0HvnyLUs0GrKg
24,The Truth Behind Why I Teach | Finally Addressing The Question,https://www.youtube.com/watch?v=DvDcK55VioM,3269,3:42,1,UCdWdS4LAtv0HvnyLUs0GrKg
38,Making Music For Film + Movie Trailers | RAPID Career Growth with Jon Mohr,https://www.youtube.com/watch?v=iIpMWNwy4pI,3986,19:32,1,UCdWdS4LAtv0HvnyLUs0GrKg
124,Using Twitch To Grow A Music Fanbase with Jennifer Jess | Sell Music Masterclass Student Spotlight,https://www.youtube.com/watch?v=MC4CFDX0EpM,4004,21:57,1,UCdWdS4LAtv0HvnyLUs0GrKg
1,Is TikTok Being Banned In 2023? | Congress Hates Musicians,https://www.youtube.com/watch?v=2DP-AZRd4TY,4054,3:19,1,UCdWdS4LAtv0HvnyLUs0GrKg
50,How To Split Music Royalties Without An Accountant,https://www.youtube.com/watch?v=ISUQjPiAyH4,4123,3:56,1,UCdWdS4LAtv0HvnyLUs0GrKg
86,From Losing Gigs To Topping The Country Music Charts | 12 Months Later...,https://www.youtube.com/watch?v=MiKWPfCUqEw,4337,28:37,1,UCdWdS4LAtv0HvnyLUs0GrKg
150,Sudio Fem Wireless Earbuds - Unboxing and Review,https://www.youtube.com/watch?v=6VqTLc_hkA0,4422,7:17,1,UCdWdS4LAtv0HvnyLUs0GrKg
8,Instagram Photos Are HOT Again In 2023 | Did They Finally Get It Right?,https://www.youtube.com/watch?v=PlB2RLoEcM4,4786,9:43,1,UCdWdS4LAtv0HvnyLUs0GrKg
153,Increase Email & Social Messaging Response Rates | One Easy Step,https://www.youtube.com/watch?v=e0gHZ67VCU0,4916,5:17,1,UCdWdS4LAtv0HvnyLUs0GrKg
139,Selling Music Without Charging | Strategically Free | feat. Anno Domini Beats,https://www.youtube.com/watch?v=i7_y3lMq8Uo,4961,10:19,1,UCdWdS4LAtv0HvnyLUs0GrKg
146,How To Build A Dream Home Studio | Episode 2,https://www.youtube.com/watch?v=ORzscm-F86M,5129,7:20,1,UCdWdS4LAtv0HvnyLUs0GrKg
56,Music Career In Under A Year | From Teacher to American Idol with Redd (Christina Daugherty),https://www.youtube.com/watch?v=xw69ZMWo9LM,5140,22:08,1,UCdWdS4LAtv0HvnyLUs0GrKg
15,"Get Your Music Videos On Apple Music, Vevo, Tidal, and More | THIS IS HOW!",https://www.youtube.com/watch?v=yWZg8SWzQds,5342,5:12,1,UCdWdS4LAtv0HvnyLUs0GrKg
30,How To Get Over A Creative Block | CRUSH Overthink!,https://www.youtube.com/watch?v=VdtTyUgbcAI,5431,6:30,1,UCdWdS4LAtv0HvnyLUs0GrKg
14,Your Link In Bio Might Be Ruining Your Growth | Avoid These Mistakes,https://www.youtube.com/watch?v=Ezm1YmofHuw,5575,9:29,1,UCdWdS4LAtv0HvnyLUs0GrKg
10,New Instagram Features You Need To Know About | Did Anyone Ask For This?!,https://www.youtube.com/watch?v=ehjvJ35vGu0,6163,5:23,1,UCdWdS4LAtv0HvnyLUs0GrKg
98,TikTok Made A Crazy Deal & It's Not What You Think,https://www.youtube.com/watch?v=xZ-o7sXhf_k,6280,10:49,1,UCdWdS4LAtv0HvnyLUs0GrKg
13,Going Full Time In The NEW Music Industry | STOP Leaving Money On The Table!,https://www.youtube.com/watch?v=3aDXYN4RBBw,6585,3:25,1,UCdWdS4LAtv0HvnyLUs0GrKg
130,"Surpassing $10,000 in Under 6 Months With Music | Sell Music Masterclass Student Spotlight",https://www.youtube.com/watch?v=pEQWypRFZCk,6656,29:56,1,UCdWdS4LAtv0HvnyLUs0GrKg
155,How To Build A Future-Proof Fan Base | Understanding Audience Growth,https://www.youtube.com/watch?v=myaPPDY4uUc,6938,11:46,1,UCdWdS4LAtv0HvnyLUs0GrKg
16,What Are The Chances Of Doing Music Full Time? | What THEY Don't Tell You,https://www.youtube.com/watch?v=QZuq1-pNk8Q,7049,7:47,1,UCdWdS4LAtv0HvnyLUs0GrKg
166,They Can Erase Your Music Career | Protect Yourself & Take Control,https://www.youtube.com/watch?v=x4hkESYx2y4,7066,7:23,1,UCdWdS4LAtv0HvnyLUs0GrKg
90,Music Career Mental Health Check | 2020 Has Done Damage,https://www.youtube.com/watch?v=yYd_uDYIIUI,7299,8:25,1,UCdWdS4LAtv0HvnyLUs0GrKg
109,How I Ended Up Producing For G-Eazy | The Truth,https://www.youtube.com/watch?v=U2CPg88zhhQ,7437,13:35,1,UCdWdS4LAtv0HvnyLUs0GrKg
92,Facebook Music Policy Update AGAIN!? | What You Need To Know,https://www.youtube.com/watch?v=ZJ8EHwwX6ks,7497,10:45,1,UCdWdS4LAtv0HvnyLUs0GrKg
12,The Truth About Doing Music Full Time | What Most Are Too Afraid To Say,https://www.youtube.com/watch?v=7RWoTfg5ywo,8042,10:43,1,UCdWdS4LAtv0HvnyLUs0GrKg
104,How To Pin A Comment On Instagram Posts | New IG Update!,https://www.youtube.com/watch?v=4CvY5GGfjjE,8051,6:22,1,UCdWdS4LAtv0HvnyLUs0GrKg
79,How A New Relationship Can Ruin Your Music Career | Avoid This Mistake,https://www.youtube.com/watch?v=40mJvb6eQZs,8093,9:51,1,UCdWdS4LAtv0HvnyLUs0GrKg
91,Promoting Your Music On SnapChat | Secret Weapon or Waste Of Time?,https://www.youtube.com/watch?v=C8r3j8GUVXU,8129,14:12,1,UCdWdS4LAtv0HvnyLUs0GrKg
154,You're Not Marketing Your Music | Four Key Components,https://www.youtube.com/watch?v=Rg5NxY9q1Pk,8163,7:34,1,UCdWdS4LAtv0HvnyLUs0GrKg
121,0 to 80K Streams In 60 Days with Eraina Joy | Sell Music Masterclass Student Spotlight,https://www.youtube.com/watch?v=719JGuIy8Bk,8532,25:37,1,UCdWdS4LAtv0HvnyLUs0GrKg
132,How To Grow Your Music Fanbase | Turn Followers Into Fans,https://www.youtube.com/watch?v=3zrIm-Of-MU,8742,6:51,1,UCdWdS4LAtv0HvnyLUs0GrKg
33,How To Overcome Burnout As A Musician | YOU GOT THIS!,https://www.youtube.com/watch?v=o8ZH75hTkK0,8771,14:25,1,UCdWdS4LAtv0HvnyLUs0GrKg
129,Music Career Growth During Uncertainty | Quarantine Marketing,https://www.youtube.com/watch?v=sIvgC6W-b8Y,8885,6:12,1,UCdWdS4LAtv0HvnyLUs0GrKg
85,Are You Too Old To Have A Music Career? Jacre Found Success In Under 6 Months!,https://www.youtube.com/watch?v=QXpFfJsalnY,8910,21:35,1,UCdWdS4LAtv0HvnyLUs0GrKg
168,How To Write Engaging Copy | Grow Your Audience With Words,https://www.youtube.com/watch?v=RNkdCEMhx6E,8940,12:09,1,UCdWdS4LAtv0HvnyLUs0GrKg
138,Is Performing Live Necessary To Do Music Full Time? | Wins & Losses,https://www.youtube.com/watch?v=5qlLIVBnh7c,9338,9:02,1,UCdWdS4LAtv0HvnyLUs0GrKg
23,How To Build Your Music Business In Less Time | Don't Screw This Up!,https://www.youtube.com/watch?v=DqGTK7qYpS4,9512,9:15,1,UCdWdS4LAtv0HvnyLUs0GrKg
165,Music Career Success In Less Time | Why Most Fail,https://www.youtube.com/watch?v=7sNDSKnWR7U,9533,10:04,1,UCdWdS4LAtv0HvnyLUs0GrKg
54,Home Studio Setup 2021 | Dream Home Studio Tour with Adam Ivy,https://www.youtube.com/watch?v=fKrAtDWsPng,9949,24:03,1,UCdWdS4LAtv0HvnyLUs0GrKg
143,Does Location Matter For Success In Music? | Hard Truth,https://www.youtube.com/watch?v=QoE4vb9pZzc,10000,8:53,1,UCdWdS4LAtv0HvnyLUs0GrKg
96,How Your Fears Are Killing Your Music Career,https://www.youtube.com/watch?v=-eJbUWTVLRs,10335,9:39,1,UCdWdS4LAtv0HvnyLUs0GrKg
7,How To Make It In The Music Industry 2023 | STOP Ruining Your Chances!,https://www.youtube.com/watch?v=kPnngQMPoDU,10382,13:33,1,UCdWdS4LAtv0HvnyLUs0GrKg
103,Is Selling CD's In 2020 Still A Good Idea?,https://www.youtube.com/watch?v=PVfEwVPIhQU,10642,7:06,1,UCdWdS4LAtv0HvnyLUs0GrKg
164,The Truth About Music Marketing | Exposing The Reality,https://www.youtube.com/watch?v=tCtF7mEoPrQ,10685,13:19,1,UCdWdS4LAtv0HvnyLUs0GrKg
135,The Truth About Pursuing A Music Career | Not For Everyone,https://www.youtube.com/watch?v=5HWgx6BdFpM,10728,6:16,1,UCdWdS4LAtv0HvnyLUs0GrKg
142,Music Marketing Growth Plan | Don’t Miss Your Shot!,https://www.youtube.com/watch?v=yTUKfk8sF6s,10743,8:00,1,UCdWdS4LAtv0HvnyLUs0GrKg
147,Grow Your Music Brand In Less Time | Get Unstuck,https://www.youtube.com/watch?v=bULHxLAL9j4,10744,13:27,1,UCdWdS4LAtv0HvnyLUs0GrKg
32,The Best Link In Bio For Musicians! | Level Up with Koji,https://www.youtube.com/watch?v=9LfhG-gg85c,10774,9:04,1,UCdWdS4LAtv0HvnyLUs0GrKg
80,Music Marketing For Bands | Simple Framework For Success,https://www.youtube.com/watch?v=RPpewMcHjZ0,11272,6:45,1,UCdWdS4LAtv0HvnyLUs0GrKg
6,How to Release New Music in 2023 | Stop Ruining Your Chances,https://www.youtube.com/watch?v=lZa1w9wQv3A,11312,11:23,1,UCdWdS4LAtv0HvnyLUs0GrKg
126,How To Brand Your Music On All Platforms | Marketing Stimulus Plan,https://www.youtube.com/watch?v=57EpajpQyXs,11407,5:46,1,UCdWdS4LAtv0HvnyLUs0GrKg
