,video_title,video_link,video_views,video_duration,video_availability,channel_id
84,Merry Christmas from KDMR Music!,https://www.youtube.com/watch?v=hqAlhXofugA,77,1:08,1,UCE43v4HY3L82S_vo79PKG1A
70,Join Me at the 2020 Musician Mastery Summit!,https://www.youtube.com/watch?v=nli8UCio2eA,147,3:22,1,UCE43v4HY3L82S_vo79PKG1A
98,It's Our Anniversary! 3 Years of KDMR Music + A Special Discount for You!,https://www.youtube.com/watch?v=hTdcuTNgjK8,154,7:35,1,UCE43v4HY3L82S_vo79PKG1A
1,This App Could Take Your NETWORKING to the Next Level | SPRK Music,https://www.youtube.com/watch?v=4nxuilq_FE0,174,7:03,1,UCE43v4HY3L82S_vo79PKG1A
61,How Live Shows Will Recover from the Pandemic  (Jack Forman Interview),https://www.youtube.com/watch?v=y8z2mo2qfgI,214,40:33,1,UCE43v4HY3L82S_vo79PKG1A
43,Win a FREE Music Marketing Consultation!,https://www.youtube.com/watch?v=Awoup0znibc,254,8:09,1,UCE43v4HY3L82S_vo79PKG1A
68,"Alissa Faratro on Vocal Production, Working at Spotify Studios and More",https://www.youtube.com/watch?v=30ytTQJtEYs,257,31:26,1,UCE43v4HY3L82S_vo79PKG1A
47,"10,000 Subscriber Giveaway!",https://www.youtube.com/watch?v=kmjgj5C-mIQ,351,6:31,1,UCE43v4HY3L82S_vo79PKG1A
77,How Musicians can Stay Productive During Stay at Home Orders,https://www.youtube.com/watch?v=dlUAI8r-4K4,368,8:38,1,UCE43v4HY3L82S_vo79PKG1A
57,"Sean Giovanni talks Storytelling, Challenges and Creativity as a Musician",https://www.youtube.com/watch?v=F0pPiTqsmb8,371,1:13:49,1,UCE43v4HY3L82S_vo79PKG1A
12,When to UPDATE Your MUSIC WEBSITE | It's been too long!,https://www.youtube.com/watch?v=3F73UjkZNlc,420,8:50,1,UCE43v4HY3L82S_vo79PKG1A
0,TIME MANAGEMENT For MUSICIANS | How to Get More Done in Less Time,https://www.youtube.com/watch?v=h945N9SygAM,459,13:44,1,UCE43v4HY3L82S_vo79PKG1A
55,The TIKTOK BAN is Real! + 2 TikTok Alternatives,https://www.youtube.com/watch?v=oVisgO5yB3Q,492,9:02,1,UCE43v4HY3L82S_vo79PKG1A
85,Ari Herstand on What's New in How to Make It in the New Music Business - 2nd Edition,https://www.youtube.com/watch?v=mWk-sgPr0zA,497,4:57,1,UCE43v4HY3L82S_vo79PKG1A
46,What's Inside the Master Music Marketing Community?,https://www.youtube.com/watch?v=w5QXV8kUO0k,659,9:29,1,UCE43v4HY3L82S_vo79PKG1A
8,SURVIVING A RECESSION IN MUSIC | 5 Easy Tips | 2022 Recession,https://www.youtube.com/watch?v=310hx260Eeg,692,12:06,1,UCE43v4HY3L82S_vo79PKG1A
56,How to Handle Hate on Social Media | Social Media for Musicians,https://www.youtube.com/watch?v=KBiSBXd61w4,796,7:52,1,UCE43v4HY3L82S_vo79PKG1A
18,Master Music Marketing - October Coaching Call (Part 1) [REPLAY],https://www.youtube.com/watch?v=Z2-mp96fCfE,856,36:53,1,UCE43v4HY3L82S_vo79PKG1A
88,Wendy Day on Staying Independent vs. Signing a Record Deal,https://www.youtube.com/watch?v=I888JTwzKHM,870,3:43,1,UCE43v4HY3L82S_vo79PKG1A
87,Why You Shouldn't Give Up Your Publishing (Wendy Day Interview),https://www.youtube.com/watch?v=gLEaZ2lUMIc,871,5:35,1,UCE43v4HY3L82S_vo79PKG1A
81,Walking Through Our 2020 Music Career Planning Guide | Music Business Dreams | Music Industry 2020,https://www.youtube.com/watch?v=LAsFq_axoMI,918,25:15,1,UCE43v4HY3L82S_vo79PKG1A
101,WHY YOUR FOLLOWERS DON'T SUPPORT YOU | Growing Your Fanbase The RIGHT Way,https://www.youtube.com/watch?v=Ir6dwpm16VE,1000,7:11,1,UCE43v4HY3L82S_vo79PKG1A
72,"Jason Grishkoff Talks SubmitHub Best Practices, the Golden Age of Blogging and More (Full Interview)",https://www.youtube.com/watch?v=6v3667Jf5zg,1004,46:11,1,UCE43v4HY3L82S_vo79PKG1A
100,Spotify Shutting Down Direct Upload Program - What Went Wrong?,https://www.youtube.com/watch?v=802hwVdn3E4,1062,4:31,1,UCE43v4HY3L82S_vo79PKG1A
23,I Almost QUIT YouTube...,https://www.youtube.com/watch?v=meByIpMCOtU,1063,13:29,1,UCE43v4HY3L82S_vo79PKG1A
76,ASCAP Not Paying Royalties?! How This Affects You | Music News,https://www.youtube.com/watch?v=mVq_TicslFo,1069,5:34,1,UCE43v4HY3L82S_vo79PKG1A
