,video_title,video_link,video_views,video_duration,video_availability,channel_id
19,Let's go to SEATTLE 🔥 | VLOG #23,https://www.youtube.com/watch?v=UV27B36wIfU,272,5:47,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
77,STEREOTALK with SOMNA | He makes great music and he can lick his elbow | Somna Interview,https://www.youtube.com/watch?v=hygJhM3uJhM,295,28:07,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
81,STEREOTALK with MARK SIXMA | Secret DJ Name reveal and more...,https://www.youtube.com/watch?v=6xZs7X6Vr-w,315,35:21,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
23,Went to Belfast to get my Nose waxed 😱 | VLOG# 22,https://www.youtube.com/watch?v=zquiky-4j20,358,9:39,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
78,STEREOTALK with DAN STONE | I wish my useless talent was farting melodies | Dan Stone Interview,https://www.youtube.com/watch?v=yTEQ6nTMS38,450,35:10,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
5,Lemon & Einar K  - Anticipation ReOrder Remix | ASOT1071 | Trance Classic,https://www.youtube.com/watch?v=Ux27Cd-OMGw,480,2:38,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
0,ReOrder - L'amour Et Moi (Live at ASOT1000),https://www.youtube.com/watch?v=XIW3FwuiTjY,506,4:04,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
25,How I relax | Swing self build,https://www.youtube.com/watch?v=oXTZct7bU-o,508,5:17,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
24,This was the @LuminosityEvents 2022 🫶🏻,https://www.youtube.com/watch?v=rbzGGZ3L7I8,537,1:58,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
55,#21 Trance DJ in Paris!,https://www.youtube.com/watch?v=YLPhFHmLK1g,622,13:44,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
16,Crowd+CTRL - Hades | live at ASOT 1000,https://www.youtube.com/watch?v=kMxuve6_RSE,655,3:13,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
41,"""Great Ocean Road"" Acoustic Version by That Girl",https://www.youtube.com/watch?v=BSYdAxI0xO0,681,2:43,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
46,🇸🇰🇨🇿🇬🇧 I am back! ReOrder Live Trance mix after 5 months off!,https://www.youtube.com/watch?v=ri5aZvGvbf4,752,1:53:23,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
7,Crowd+Ctrl - We Are In Ctrl | Uplifting Techno,https://www.youtube.com/watch?v=4vCR4k4jCbQ,765,2:42,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
17,The Space Brothers - Forever (ReOrder Remix) LIVE at Luminosity Beach Festival,https://www.youtube.com/watch?v=woBy-Uohbk4,812,2:46,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
27,ReOrder - Stereo | Live on A State Of Trance,https://www.youtube.com/watch?v=6Yzp-QvF_qs,814,3:29,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
69,Prvé dojmy DJa z DENON DJ SC5000 a X1800. Je lepší ako Pioneer?,https://www.youtube.com/watch?v=KY5tFYCkgug,821,11:33,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
2,ID - ID (guess the ID in comments),https://www.youtube.com/watch?v=bJFol4tG03M,831,3:22,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
52,🇨🇿🇸🇰 ADAM AUDIO S2V Unboxing a Recenzia | Kúpiť či Nekúpiť?,https://www.youtube.com/watch?v=GDG94oHyhd0,872,7:54,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
6,ReOrder - Riyadh | Melodic Techno | Ableton Live Template Project,https://www.youtube.com/watch?v=rJ5ehRBOCCY,913,6:41,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
18,"Crowd+CTRL Melodic House, Uplifting Techno DJ Mix | ReOrder X Jordan Tobias",https://www.youtube.com/watch?v=1WvvFO4Pei4,945,57:49,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
22,WIN 500€ and Collab with me! | How To Make Trance? | Q&A with ReOrder,https://www.youtube.com/watch?v=kdSmdRQgtFY,1053,18:11,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
57,Bring your wife to work day. DJ style 🙌🏻,https://www.youtube.com/watch?v=tBI5gogw5dM,1138,1:01,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
20,Dune 3 Masterclass with MYR + Live Project Walkthrough,https://www.youtube.com/watch?v=Qcx5c2AHzNA,1138,8:01,1,UCTRKhEfYb5Wc6VrqSfk2JUQ
