,video_title,video_link,video_views,video_duration,video_availability,channel_id
0,The Importance of Building a Strong Company Culture and How to Do It,https://www.youtube.com/watch?v=OD8b0CQv2Zw,265,46:11,1,UCOEMEjL1GBJ41uCWur5VXWQ
11,"Rob Riggle's Favorite Golfer, NFL, and Sports Chat",https://www.youtube.com/watch?v=5dyQp3a6N9o,639,6:11,1,UCOEMEjL1GBJ41uCWur5VXWQ
925,"Joe Namath: 1 Skill QBs, Entrepreneurs Share",https://www.youtube.com/watch?v=1v85KAYOaTI,1027,2:05,1,UCOEMEjL1GBJ41uCWur5VXWQ
71,Playing Checkers With GaryVee - Veefriends Experiences,https://www.youtube.com/watch?v=ZkxoqC5Kwcw,1184,4:32,1,UCOEMEjL1GBJ41uCWur5VXWQ
47,Gary Vaynerchuk Goes Bowling  For Two Hours | Veefriends Experiences,https://www.youtube.com/watch?v=jfc9iFQmKW0,1318,2:41,1,UCOEMEjL1GBJ41uCWur5VXWQ
976,Innovate With A Purpose,https://www.youtube.com/watch?v=NifXAkzwWZo,1421,1:43,1,UCOEMEjL1GBJ41uCWur5VXWQ
300,Gary Vaynerchuk's Hot Takes on Wine in 2020,https://www.youtube.com/watch?v=GJHYPJVIl7c,1421,3:13,1,UCOEMEjL1GBJ41uCWur5VXWQ
21,We Don't Need To Agree On Everything | Panel With Miami Mayor,https://www.youtube.com/watch?v=HzkhdABixMQ,1434,25:41,1,UCOEMEjL1GBJ41uCWur5VXWQ
12,How to Deal With Hate and Negativity Online,https://www.youtube.com/watch?v=OpwL-zxgYD4,1453,24:49,1,UCOEMEjL1GBJ41uCWur5VXWQ
27,Send this to a childhood best friend 💚,https://www.youtube.com/watch?v=QvYvD-VuM34,1473,1:36,1,UCOEMEjL1GBJ41uCWur5VXWQ
16,Is Having a Mascot for Your Company Important?,https://www.youtube.com/watch?v=vyTmUUvVS0g,1484,35:19,1,UCOEMEjL1GBJ41uCWur5VXWQ
59,What the DAMELIO Family Wants You to Know,https://www.youtube.com/watch?v=nf5fQ1GYYWE,1488,24:33,1,UCOEMEjL1GBJ41uCWur5VXWQ
15,What Does it Take for New Technologies to Achieve Mass Adoption,https://www.youtube.com/watch?v=jBkUEdwPNF0,1513,16:19,1,UCOEMEjL1GBJ41uCWur5VXWQ
879,Are People Ready For The Tech?,https://www.youtube.com/watch?v=F1mAiBcSxsQ,1514,1:11,1,UCOEMEjL1GBJ41uCWur5VXWQ
983,The Best Business Structure Type Puts Leaders At Edge,https://www.youtube.com/watch?v=6e8Bh7LkGMo,1543,1:11,1,UCOEMEjL1GBJ41uCWur5VXWQ
958,It's True: Your Client Is Always Right,https://www.youtube.com/watch?v=tKrN_9fxVD4,1548,1:53,1,UCOEMEjL1GBJ41uCWur5VXWQ
72,Playing Video Games With GaryVee 🎮  - Veefriends Experiences,https://www.youtube.com/watch?v=pAeYyQpKVNs,1623,12:35,1,UCOEMEjL1GBJ41uCWur5VXWQ
961,"""You Could Be So Much More""",https://www.youtube.com/watch?v=vrE9VudzwdQ,1637,6:47,1,UCOEMEjL1GBJ41uCWur5VXWQ
