,video_title,video_link,video_views,video_duration,video_availability,channel_id
115,The #1 Rule That Should Guide Every Business Decision You Make To Stay Ahead of the Competition,https://www.youtube.com/watch?v=m3hBNkdGNxk,22897,2:26,1,UCOEMEjL1GBJ41uCWur5VXWQ
166,"The One Thing Somebody Who Makes $80,000 and $80,000,000 Can Both Do",https://www.youtube.com/watch?v=I_eY8oNWwU4,24443,2:44,1,UCOEMEjL1GBJ41uCWur5VXWQ
6,The Ultimate Marketing Strategy to Apply for Your Business Today,https://www.youtube.com/watch?v=lA-UI2dnYKM,25894,1:01:44,1,UCOEMEjL1GBJ41uCWur5VXWQ
57,GaryVee On Advice To Young People And Being A Contextual Creator - Sriram & Aarthi Podcast,https://www.youtube.com/watch?v=1-iT2jZk83w,26307,43:18,1,UCOEMEjL1GBJ41uCWur5VXWQ
56,What's The Most Important Thing for a Business Owner? - Fireside Chat DattCON 2022,https://www.youtube.com/watch?v=7BK1IfsmFwc,27444,30:17,1,UCOEMEjL1GBJ41uCWur5VXWQ
173,4 Things You Can Do RIGHT NOW on LinkedIn To Get More Attention,https://www.youtube.com/watch?v=HidlTtlMkQE,28011,2:09,1,UCOEMEjL1GBJ41uCWur5VXWQ
93,A Quick Overview On How To Use Social Media,https://www.youtube.com/watch?v=c5euCt45d84,29486,1:50,1,UCOEMEjL1GBJ41uCWur5VXWQ
119,Why Today Is One of the Best Times To Start Buying Sports Cards in a While,https://www.youtube.com/watch?v=rXi4lINLOIU,34112,5:10,1,UCOEMEjL1GBJ41uCWur5VXWQ
133,What's Separates Good NFT Projects From Bad Ones?,https://www.youtube.com/watch?v=MeQvoVXNeJk,39010,2:49,1,UCOEMEjL1GBJ41uCWur5VXWQ
161,Why Do People Want NFTs If They Are Just Pictures?,https://www.youtube.com/watch?v=XSIzQdrcvWc,39398,4:20,1,UCOEMEjL1GBJ41uCWur5VXWQ
186,10 Minutes on Why NFTs Are a Big Deal and How They Will Change the Internet,https://www.youtube.com/watch?v=3nwS6uWkHIs,40115,10:59,1,UCOEMEjL1GBJ41uCWur5VXWQ
52,How To Grow And Scale A Small Business With Social Media,https://www.youtube.com/watch?v=FfI7rq4RbYI,48685,17:43,1,UCOEMEjL1GBJ41uCWur5VXWQ
130,GaryVee and Mark Cuban on How History Has Already Proven That NFTs Are Here To Stay,https://www.youtube.com/watch?v=IuDxdY-H_FY,53674,8:58,1,UCOEMEjL1GBJ41uCWur5VXWQ
78,Why You Need to Make EVEN MORE Content in 2022 - Full Keynote,https://www.youtube.com/watch?v=UVvIbleYSIY,85325,1:07:55,1,UCOEMEjL1GBJ41uCWur5VXWQ
95,Why Saving Money Is So Important?,https://www.youtube.com/watch?v=5s_s65z2S6M,109978,2:14,1,UCOEMEjL1GBJ41uCWur5VXWQ
89,How to grow and operate a business | Business Advice For Entrepreneurs,https://www.youtube.com/watch?v=y1jusPIu5cw,135718,10:18,1,UCOEMEjL1GBJ41uCWur5VXWQ
124,Advice For Anyone Making Their First NFT,https://www.youtube.com/watch?v=mZVC9Wwlhww,147730,6:03,1,UCOEMEjL1GBJ41uCWur5VXWQ
10,The Only Marketing Strategy You Need for 2023,https://www.youtube.com/watch?v=2EVT5rJ_Xpc,164690,57:32,1,UCOEMEjL1GBJ41uCWur5VXWQ
165,The Biggest Mistake You Can Make When Investing in Bitcoin and Other Cryptocurrencies,https://www.youtube.com/watch?v=8baeYtzEj7Q,270213,2:56,1,UCOEMEjL1GBJ41uCWur5VXWQ
170,Your NFT Art Won't Sell Unless You Do This,https://www.youtube.com/watch?v=LiZu7A2vBk0,404630,4:24,1,UCOEMEjL1GBJ41uCWur5VXWQ
