,video_title,video_link,video_views,video_duration,video_availability,channel_id
134,When & How to Acquire & Invest Capital into Your SaaS Business – Brian Parks – MicroConf Growth 2018,https://www.youtube.com/watch?v=lD5EIUE6Gnk,65,13:42,1,UCHoBKQDRkJcOY2BO47q5Ruw
143,Bootstrappers: How To Get Customers Efficiently With Podcast Tours – Kai Davis – MicroConf 2016,https://www.youtube.com/watch?v=oXACKWi6QYU,75,12:12,1,UCHoBKQDRkJcOY2BO47q5Ruw
140,The Case Against Growth – Dave Kiss – MicroConf Growth 2018,https://www.youtube.com/watch?v=tulagrWJXqg,81,12:33,1,UCHoBKQDRkJcOY2BO47q5Ruw
146,How To Systematically Fight SaaS Churn and Win – Robert Graham – MicroConf 2015,https://www.youtube.com/watch?v=X_1nKcSvdog,105,14:06,1,UCHoBKQDRkJcOY2BO47q5Ruw
116,Selling to Two or More B2B Decision Makers at the Same Time – Matthew Du Pont – MicroConf,https://www.youtube.com/watch?v=3lJdhhYI6hg,110,13:22,1,UCHoBKQDRkJcOY2BO47q5Ruw
136,Lessons Learned from a Year of Product Demos at Drip – Anna Jacobsen – MicroConf 2016,https://www.youtube.com/watch?v=MCOo9HPpqck,113,12:39,1,UCHoBKQDRkJcOY2BO47q5Ruw
147,Micropreneur Hiring: Get the Right Team So You Can Relax a Little – Matt Molter,https://www.youtube.com/watch?v=aLy_FlLIOtQ,140,11:14,1,UCHoBKQDRkJcOY2BO47q5Ruw
99,Your Stories: Brian Casel — MicroConf Remote,https://www.youtube.com/watch?v=BKfaZZay-Fo,141,1:46,1,UCHoBKQDRkJcOY2BO47q5Ruw
102,SaaS Mag and How Startups Can Leverage Traditional Media with Thomas Smale – MicroConf On Air,https://www.youtube.com/watch?v=YQg0a8lJHqc,141,21:48,1,UCHoBKQDRkJcOY2BO47q5Ruw
151,Micro ISV to Micro Acquisition: Selling My 11 Year Solo Software Business –Jacob Thurman,https://www.youtube.com/watch?v=TPxlpEzo0tw,143,11:53,1,UCHoBKQDRkJcOY2BO47q5Ruw
100,Bonus! A Fireside MicroConf ROAST with Lianna Patch — MicroConf Remote,https://www.youtube.com/watch?v=fJVY20sW2Bg,145,8:40,1,UCHoBKQDRkJcOY2BO47q5Ruw
117,MicroConf Recap 2018 – Christian Genco – MicroConf Starter 2019,https://www.youtube.com/watch?v=JcbIRhS8wHc,145,7:49,1,UCHoBKQDRkJcOY2BO47q5Ruw
149,How We Grew from $5K MRR to $25K MRR in 12 Months – David Sims – MicroConf 2016,https://www.youtube.com/watch?v=DqdHVqTgD_U,161,10:53,1,UCHoBKQDRkJcOY2BO47q5Ruw
122,When Is It Time to Pay for Help? – Sophia Dagnon – MicroConf Growth 2019,https://www.youtube.com/watch?v=CYbdNrOxig0,172,10:05,1,UCHoBKQDRkJcOY2BO47q5Ruw
87,The Office: Training Your Team To Get The Job Done Without You: Nate Grahek - MicroConf Remote,https://www.youtube.com/watch?v=Kd9kOrioxec,181,15:12,1,UCHoBKQDRkJcOY2BO47q5Ruw
135,Creative Twitter Marketing Automation in 15 Minutes Per Week – Ryan Battles,https://www.youtube.com/watch?v=5lS5uGu2zrg,188,12:59,1,UCHoBKQDRkJcOY2BO47q5Ruw
128,Transforming Customer Input Into Killer Features – Derrick Reimer – MicroConf Growth 2017,https://www.youtube.com/watch?v=JXGGEtT8KyY,195,6:41,1,UCHoBKQDRkJcOY2BO47q5Ruw
101,Quick Fix: Expense Audits with Bjork Ostrom — MicroConf Remote,https://www.youtube.com/watch?v=7nZz0uEgz24,201,6:23,1,UCHoBKQDRkJcOY2BO47q5Ruw
97,The SaaS Podcast Awards Announcement,https://www.youtube.com/watch?v=fJPiUEyF82w,202,2:07,1,UCHoBKQDRkJcOY2BO47q5Ruw
118,Why the IRS Loves Your SaaS Business and How to Keep It That Way – Daniel Craig,https://www.youtube.com/watch?v=UuDLeV8cvCI,215,12:42,1,UCHoBKQDRkJcOY2BO47q5Ruw
86,Between Two Plants We Stole Off of Someones Patio: Andy Martin - MicroConf Remote,https://www.youtube.com/watch?v=HsrqrwHZZEA,226,15:30,1,UCHoBKQDRkJcOY2BO47q5Ruw
150,How to Conduct a Great User Interview – Chris Achard – MicroConf Starter 2018,https://www.youtube.com/watch?v=J_8Y67mARpo,238,11:52,1,UCHoBKQDRkJcOY2BO47q5Ruw
119,"More Users, Sales, and High Fives: How to Write Better Emails and Sales, Faster – Patti Haus",https://www.youtube.com/watch?v=krm2FqrZk78,240,9:57,1,UCHoBKQDRkJcOY2BO47q5Ruw
91,Quick Fix #4: Paying Off Your Analytical Debt: Asia Orangio - MicroConf Remote,https://www.youtube.com/watch?v=qd4ey-FWI6Y,255,6:44,1,UCHoBKQDRkJcOY2BO47q5Ruw
132,Why There Is No Downside In Going For It: A Practical Guide – James Tayler – MicroConf Starter 2018,https://www.youtube.com/watch?v=SdQdAdutx6c,261,10:59,1,UCHoBKQDRkJcOY2BO47q5Ruw
75,Fill Your Lobby with Partners That Can Refer Your SaaS with Leonardo Barrientos,https://www.youtube.com/watch?v=f_9GwLbncsc,262,37:09,1,UCHoBKQDRkJcOY2BO47q5Ruw
89,Quick Fix #1: You Can Talk To Your Customers! with Rand Fishkin - MicroConf Remote,https://www.youtube.com/watch?v=Y4xsNMomL4k,281,3:26,1,UCHoBKQDRkJcOY2BO47q5Ruw
