,video_title,video_link,video_views,video_duration,video_availability,channel_id
22,How to Craft a Story that Sells with April Dunford,https://www.youtube.com/watch?v=1DxQddmWqzQ,10291,45:31,1,UCHoBKQDRkJcOY2BO47q5Ruw
9,31 Quick Wins for Growing a Million Dollar Startup,https://www.youtube.com/watch?v=XE4vhJ7nO6g,13045,52:47,1,UCHoBKQDRkJcOY2BO47q5Ruw
11,No Code SaaS - Is It Real or All Hype?,https://www.youtube.com/watch?v=0pDiboyl26w,13908,12:59,1,UCHoBKQDRkJcOY2BO47q5Ruw
15,SaaS Ideas To Build Right Now That Will Make You $10k+ MRR,https://www.youtube.com/watch?v=oLfATKP8IsM,16258,14:18,1,UCHoBKQDRkJcOY2BO47q5Ruw
8,6 Micro SaaS Ideas You Can Steal,https://www.youtube.com/watch?v=MBPfFTh71SM,16859,11:57,1,UCHoBKQDRkJcOY2BO47q5Ruw
1,I Built a Multi-Million Dollar Startup With $0 Venture Capital 📈,https://www.youtube.com/watch?v=oDiR3WqTj0U,17118,16:55,1,UCHoBKQDRkJcOY2BO47q5Ruw
12,How to Build SaaS from Scratch in 8 Simplified Steps,https://www.youtube.com/watch?v=pFhVQo0YPyw,24032,14:26,1,UCHoBKQDRkJcOY2BO47q5Ruw
30,"If I Had To Start Over, Here's 3 Steps I'd Take to $1M+ Revenue",https://www.youtube.com/watch?v=3qUJnFyRlyQ,25049,11:09,1,UCHoBKQDRkJcOY2BO47q5Ruw
21,8 Major Opportunities to use ChatGPT in your SaaS,https://www.youtube.com/watch?v=WZ3A2-gU2gM,26400,12:04,1,UCHoBKQDRkJcOY2BO47q5Ruw
26,7 SaaS Ideas That Will Take Off In 2023 🚀,https://www.youtube.com/watch?v=OC7jIwzQ2Q0,29013,10:22,1,UCHoBKQDRkJcOY2BO47q5Ruw
