,video_title,video_link,video_views,video_duration,video_availability,channel_id
8,Top 10 Videos & Best Clips of 2022,https://www.youtube.com/watch?v=o2JQFTxcPcg,559,6:06,1,UCHiSUe3Bo5cRMhE6BjttNUA
4,How To Survive a Downturn [The Metafy Story],https://www.youtube.com/watch?v=ScoyUAgFISs,788,13:34,1,UCHiSUe3Bo5cRMhE6BjttNUA
3,Will ChatGPT Kill Google? [Real-Life Innovator’s Dilemma],https://www.youtube.com/watch?v=_v5UtkrIxf4,979,11:49,1,UCHiSUe3Bo5cRMhE6BjttNUA
0,Is Your Startup Doomed to Fail? Here's How to Tell,https://www.youtube.com/watch?v=06FIx93JLsc,1228,9:42,1,UCHiSUe3Bo5cRMhE6BjttNUA
5,Why Everyone Needs a Sales Team,https://www.youtube.com/watch?v=jUjIFLJDnNI,1253,14:01,1,UCHiSUe3Bo5cRMhE6BjttNUA
18,Liberty Ships - The First Ever MVP,https://www.youtube.com/watch?v=N803GtV-Fmw,1276,9:02,1,UCHiSUe3Bo5cRMhE6BjttNUA
20,Best Startup Documentaries [My Top 5 in 2022],https://www.youtube.com/watch?v=ek6atS1h1KM,1651,10:00,1,UCHiSUe3Bo5cRMhE6BjttNUA
13,Startup Hiring Guide - 8 Steps to The Perfect Hire,https://www.youtube.com/watch?v=Uh_U88LrUjs,1726,23:16,1,UCHiSUe3Bo5cRMhE6BjttNUA
28,"Best Startup, Founder and Entrepreneur Books  [My Top 5 in 2022}",https://www.youtube.com/watch?v=AxHBgZMqQ6E,1787,7:50,1,UCHiSUe3Bo5cRMhE6BjttNUA
25,"How To Use Blockchain in Startups (Web3, Coins & NFTs)",https://www.youtube.com/watch?v=EqD_UQoa7Ko,2007,13:48,1,UCHiSUe3Bo5cRMhE6BjttNUA
1,Achieving Product Market Fit [with PMF Score],https://www.youtube.com/watch?v=gEiK-bDOADg,2055,12:32,1,UCHiSUe3Bo5cRMhE6BjttNUA
12,How to Raise a Series A-Round in 2022,https://www.youtube.com/watch?v=a4IE8DvjCqs,2319,16:50,1,UCHiSUe3Bo5cRMhE6BjttNUA
27,Best Startup Movies [My Top 10 in 2022],https://www.youtube.com/watch?v=LoahJ5oQbiM,2442,9:24,1,UCHiSUe3Bo5cRMhE6BjttNUA
15,The Real Reasons Stadia Failed,https://www.youtube.com/watch?v=hIaDGd7r7H8,2467,7:18,1,UCHiSUe3Bo5cRMhE6BjttNUA
17,Founder High Performance - How to Avoid Burnout,https://www.youtube.com/watch?v=NimibAzhSpw,2486,20:02,1,UCHiSUe3Bo5cRMhE6BjttNUA
24,Startup Funding When Markets Crash,https://www.youtube.com/watch?v=CtAF0wXRfn8,2576,11:14,1,UCHiSUe3Bo5cRMhE6BjttNUA
22,Best Startup TV Series [My Top 5 in 2022],https://www.youtube.com/watch?v=jFW5FcmjR9M,2726,8:56,1,UCHiSUe3Bo5cRMhE6BjttNUA
26,The Real Reasons CNN Plus Failed,https://www.youtube.com/watch?v=OBjmSmHIfWU,2835,11:25,1,UCHiSUe3Bo5cRMhE6BjttNUA
9,How to Build a Personal Brand [5 Easy Steps],https://www.youtube.com/watch?v=uT1tBEyJTZM,3196,19:41,1,UCHiSUe3Bo5cRMhE6BjttNUA
19,What is a Startup? Startups Explained,https://www.youtube.com/watch?v=8Pi-FVQ0RL8,3470,7:37,1,UCHiSUe3Bo5cRMhE6BjttNUA
10,Next 3 Industries to be Disrupted by AI,https://www.youtube.com/watch?v=G6FYKMJg9Mo,4124,15:41,1,UCHiSUe3Bo5cRMhE6BjttNUA
6,Biggest Startup Failures of ALL TIME [2023 Edition],https://www.youtube.com/watch?v=E7QxYHipqag,4246,15:19,1,UCHiSUe3Bo5cRMhE6BjttNUA
7,Biggest App Building Mistakes [in 2023],https://www.youtube.com/watch?v=E9DCGNToWWY,4344,11:37,1,UCHiSUe3Bo5cRMhE6BjttNUA
14,Pitch Deck Mistakes (8 Worst Mistakes),https://www.youtube.com/watch?v=mWghdedMgWs,4509,12:09,1,UCHiSUe3Bo5cRMhE6BjttNUA
