,video_title,video_link,video_views,video_duration,video_availability,channel_id
0,How To Create An Onboarding Campaign → Marketing Funnel #7,https://www.youtube.com/watch?v=mpIWsWWVG5g,184,15:37,1,UCunFodUQmXt6Rlcv7hxz1CQ
2,How To Create A Nurturing Campaign → Marketing Funnel #5,https://www.youtube.com/watch?v=3b-4WuTf5Oc,252,17:53,1,UCunFodUQmXt6Rlcv7hxz1CQ
1,How To Create A Sales Campaign → Marketing Funnel #6,https://www.youtube.com/watch?v=zrnniXXlGdI,259,23:30,1,UCunFodUQmXt6Rlcv7hxz1CQ
76,How To Increase Website Traffic And Convert More Customers - Community Q&A,https://www.youtube.com/watch?v=lSpShOtIiBg,275,7:53,1,UCunFodUQmXt6Rlcv7hxz1CQ
74,How To Come Up With Great Business Ideas  - Community Q&A,https://www.youtube.com/watch?v=plRlqn0WVWU,287,9:56,1,UCunFodUQmXt6Rlcv7hxz1CQ
3,How To Build A Valuable Email List → Marketing Funnel #4,https://www.youtube.com/watch?v=XW7b8TbWTnE,304,16:10,1,UCunFodUQmXt6Rlcv7hxz1CQ
41,How To Get Support And Accountability As An Entrepreneur - Startup Vlog 009,https://www.youtube.com/watch?v=mBMILGAUbWQ,317,15:05,1,UCunFodUQmXt6Rlcv7hxz1CQ
36,How To Break Out Of A Startup Rut - Startup Vlog 014,https://www.youtube.com/watch?v=-87KBkcqkao,326,11:01,1,UCunFodUQmXt6Rlcv7hxz1CQ
87,The Top 5 Excuses For NOT Reading AND How To Overcome Them,https://www.youtube.com/watch?v=pVJrPMhkLPA,331,12:58,1,UCunFodUQmXt6Rlcv7hxz1CQ
69,How To Create A Successful Podcast By ‘Turning The Flywheel’,https://www.youtube.com/watch?v=tJluB3YD8zE,362,11:48,1,UCunFodUQmXt6Rlcv7hxz1CQ
72,What To Do FIRST In A Startup Or New Business - Community Q&A,https://www.youtube.com/watch?v=OsiWXqWffJ8,372,9:04,1,UCunFodUQmXt6Rlcv7hxz1CQ
42,How To Make Hiring Decisions In A New Startup - Startup Vlog 008,https://www.youtube.com/watch?v=8CFrdol3Rn0,391,13:40,1,UCunFodUQmXt6Rlcv7hxz1CQ
4,How To Build A Great Marketing Website Or Landing Page → Marketing Funnel #3,https://www.youtube.com/watch?v=9k1Yz5aA6R8,430,24:55,1,UCunFodUQmXt6Rlcv7hxz1CQ
8,How To Build A Marketing Funnel In 7 Steps → FREE SERIES,https://www.youtube.com/watch?v=zDN0S4-uCvQ,433,5:59,1,UCunFodUQmXt6Rlcv7hxz1CQ
40,My Biggest Startup Regrets As An Entrepreneur - Startup Vlog 010,https://www.youtube.com/watch?v=7MHjgZ9Kw6s,433,14:33,1,UCunFodUQmXt6Rlcv7hxz1CQ
6,How To Create A Powerful Marketing Message → Marketing Funnel Step #2,https://www.youtube.com/watch?v=polc_4RviEU,448,12:23,1,UCunFodUQmXt6Rlcv7hxz1CQ
39,How To Choose Co-Founders For Your Startup - Startup Vlog 011,https://www.youtube.com/watch?v=gOe_1Uh-738,461,17:20,1,UCunFodUQmXt6Rlcv7hxz1CQ
7,How To Identify Your Best Customers → Marketing Funnel Step #1,https://www.youtube.com/watch?v=gMeE4aMda2k,477,11:20,1,UCunFodUQmXt6Rlcv7hxz1CQ
43,How To Make Faster Startup Progress - Startup Vlog 007,https://www.youtube.com/watch?v=vgV5bTP5JZg,519,14:01,1,UCunFodUQmXt6Rlcv7hxz1CQ
37,How To Build A Startup Growth Equation - Startup Vlog 013,https://www.youtube.com/watch?v=VjVgLTR3oSw,524,13:20,1,UCunFodUQmXt6Rlcv7hxz1CQ
38,How To Choose The Best Startup Metrics - Startup Vlog 012,https://www.youtube.com/watch?v=buE8LCr9WYg,540,16:22,1,UCunFodUQmXt6Rlcv7hxz1CQ
68,How To Use Marketing To Increase Product Sales ➜ 3 Critical Steps,https://www.youtube.com/watch?v=TfE3kbNE9Ow,559,14:08,1,UCunFodUQmXt6Rlcv7hxz1CQ
5,How To Lose Weight Fast And Keep It Off In 2023,https://www.youtube.com/watch?v=cF07sUlyQuM,570,27:59,1,UCunFodUQmXt6Rlcv7hxz1CQ
26,Here’s why I’m launching a NEW YOUTUBE CHANNEL…,https://www.youtube.com/watch?v=v39JK9h7m-w,604,3:20,1,UCunFodUQmXt6Rlcv7hxz1CQ
44,How To Build A Minimum Viable Product In A Startup - Startup Vlog 006,https://www.youtube.com/watch?v=__J1CLJpQeM,615,16:39,1,UCunFodUQmXt6Rlcv7hxz1CQ
47,How To Get Feedback About Your Startup Idea - Startup Vlog 003,https://www.youtube.com/watch?v=221MBgSI-DA,688,19:06,1,UCunFodUQmXt6Rlcv7hxz1CQ
78,Taking Requests: Let Me Recommend The Best Business Book For You!,https://www.youtube.com/watch?v=3GGkN2ufMc8,712,2:58,1,UCunFodUQmXt6Rlcv7hxz1CQ
31,TIMELAPSE: Moving 454 BOOKS To The NEW STUDIO,https://www.youtube.com/watch?v=o4ijczLBeMw,730,4:19,1,UCunFodUQmXt6Rlcv7hxz1CQ
35,"STUDIO TOUR: The Books, The Gear, And The Filming Process!",https://www.youtube.com/watch?v=BoxXyZQOfMk,794,11:10,1,UCunFodUQmXt6Rlcv7hxz1CQ
45,How To Think About Marketing When Building A Startup - Startup Vlog 005,https://www.youtube.com/watch?v=rxkdURKUZT8,812,18:25,1,UCunFodUQmXt6Rlcv7hxz1CQ
13,MY TOP 5 FICTION BOOKS OF ALL TIME → What would YOU add to the list?,https://www.youtube.com/watch?v=TjAVgxp_nDI,839,7:39,1,UCunFodUQmXt6Rlcv7hxz1CQ
16,Here Are The 6 Books I Read In May 2022! What Are You Reading?,https://www.youtube.com/watch?v=ca74ZSl3oy8,850,15:51,1,UCunFodUQmXt6Rlcv7hxz1CQ
54,Which advice is best? The 4 Hour Workweek by Tim Ferriss vs. Crush It by Gary Vaynerchuk,https://www.youtube.com/watch?v=1Nm78m3ppCc,852,6:43,1,UCunFodUQmXt6Rlcv7hxz1CQ
55,The 5 Best Startup Tips From 281 Books,https://www.youtube.com/watch?v=HaZLKONdFYQ,852,13:48,1,UCunFodUQmXt6Rlcv7hxz1CQ
