,video_title,video_link,video_views,video_duration,video_availability,channel_id
53,Stay Engaged,https://www.youtube.com/watch?v=NO0RF3FNQBU,2,1:50,1,UCAuUUnT6oDeKwE6v1NGQxug
52,Rethinking Memory,https://www.youtube.com/watch?v=qVjm9YpZf-c,2,2:23,1,UCAuUUnT6oDeKwE6v1NGQxug
56,Sleep,https://www.youtube.com/watch?v=euoddu_Uqac,2,2:30,1,UCAuUUnT6oDeKwE6v1NGQxug
57,Context Matters,https://www.youtube.com/watch?v=g8fu3XdIEVA,2,2:52,1,UCAuUUnT6oDeKwE6v1NGQxug
61,Make It Personal,https://www.youtube.com/watch?v=NlBjAYFEVOA,2,1:21,1,UCAuUUnT6oDeKwE6v1NGQxug
30,Story Time,https://www.youtube.com/watch?v=q20tK6vxPxI,2,2:36,1,UCAuUUnT6oDeKwE6v1NGQxug
55,Normal Forgetting,https://www.youtube.com/watch?v=IPSGrREzG-w,2,4:51,1,UCAuUUnT6oDeKwE6v1NGQxug
11,Slow Spaces,https://www.youtube.com/watch?v=AXBAYuZObQ4,2,4:48,1,UCAuUUnT6oDeKwE6v1NGQxug
27,Inner Journey,https://www.youtube.com/watch?v=YaeNtZY-FMM,2,5:35,1,UCAuUUnT6oDeKwE6v1NGQxug
54,Memory Palace,https://www.youtube.com/watch?v=9JUtai1aFc8,2,1:46,1,UCAuUUnT6oDeKwE6v1NGQxug
3,Slow,https://www.youtube.com/watch?v=UA_7kHD2rV8,3,2:21,1,UCAuUUnT6oDeKwE6v1NGQxug
58,Prospective Memory,https://www.youtube.com/watch?v=8iHUfLe1z-M,3,2:48,1,UCAuUUnT6oDeKwE6v1NGQxug
59,Muscle Memory,https://www.youtube.com/watch?v=lEZnkB-5Rns,3,3:04,1,UCAuUUnT6oDeKwE6v1NGQxug
60,Manage Stress,https://www.youtube.com/watch?v=8NYnJ8JAnM4,3,3:07,1,UCAuUUnT6oDeKwE6v1NGQxug
4,Timekeeping,https://www.youtube.com/watch?v=GsnUA2hQUqY,3,3:33,1,UCAuUUnT6oDeKwE6v1NGQxug
62,Episodic Memory,https://www.youtube.com/watch?v=qVTUaeul2xE,3,7:38,1,UCAuUUnT6oDeKwE6v1NGQxug
63,Attach Meaning,https://www.youtube.com/watch?v=slqTUB0_2OE,3,2:21,1,UCAuUUnT6oDeKwE6v1NGQxug
64,Semantic Memory,https://www.youtube.com/watch?v=Hlgi_ndLV7o,3,1:36,1,UCAuUUnT6oDeKwE6v1NGQxug
65,Brain Healthy Food,https://www.youtube.com/watch?v=maiUkj7SPfM,3,2:52,1,UCAuUUnT6oDeKwE6v1NGQxug
8,Work,https://www.youtube.com/watch?v=zYgtwv2D8z8,3,4:53,1,UCAuUUnT6oDeKwE6v1NGQxug
5,Connect,https://www.youtube.com/watch?v=i1bKR7PeBAE,3,3:21,1,UCAuUUnT6oDeKwE6v1NGQxug
29,Same Same but Different,https://www.youtube.com/watch?v=DmXobs156Zo,3,7:52,1,UCAuUUnT6oDeKwE6v1NGQxug
28,Upended,https://www.youtube.com/watch?v=Y16-scIXIBM,3,3:46,1,UCAuUUnT6oDeKwE6v1NGQxug
6,Family,https://www.youtube.com/watch?v=jfS4ZDaO0rQ,3,4:17,1,UCAuUUnT6oDeKwE6v1NGQxug
26,Quantity and Quality,https://www.youtube.com/watch?v=sZIqBRCkxZI,3,4:36,1,UCAuUUnT6oDeKwE6v1NGQxug
9,Slow Work,https://www.youtube.com/watch?v=GwXlTbumJhY,3,2:24,1,UCAuUUnT6oDeKwE6v1NGQxug
7,Romance,https://www.youtube.com/watch?v=bDdmZBOuWSs,3,3:04,1,UCAuUUnT6oDeKwE6v1NGQxug
10,Slow Thinking,https://www.youtube.com/watch?v=Nkr18rN6bNo,3,2:36,1,UCAuUUnT6oDeKwE6v1NGQxug
25,Deepening the Transport,https://www.youtube.com/watch?v=CsLLKplW8Co,3,6:18,1,UCAuUUnT6oDeKwE6v1NGQxug
12,Leisure,https://www.youtube.com/watch?v=H795zSIhAqA,3,4:25,1,UCAuUUnT6oDeKwE6v1NGQxug
13,Slow for Others,https://www.youtube.com/watch?v=6IQ6zD2pEL8,3,1:25,1,UCAuUUnT6oDeKwE6v1NGQxug
14,Finish,https://www.youtube.com/watch?v=AR9UY1pjl1o,3,2:04,1,UCAuUUnT6oDeKwE6v1NGQxug
2,Running,https://www.youtube.com/watch?v=EFvjIOuyFr0,4,4:26,1,UCAuUUnT6oDeKwE6v1NGQxug
24,Bhutan,https://www.youtube.com/watch?v=lW9AABm6UtU,4,3:49,1,UCAuUUnT6oDeKwE6v1NGQxug
31,Remaking a Life,https://www.youtube.com/watch?v=5nWtW4NlCBY,4,8:50,1,UCAuUUnT6oDeKwE6v1NGQxug
23,In Advance,https://www.youtube.com/watch?v=p-bSW0KQco4,4,8:03,1,UCAuUUnT6oDeKwE6v1NGQxug
67,Working Memory,https://www.youtube.com/watch?v=95-WNXDeqZQ,4,2:51,1,UCAuUUnT6oDeKwE6v1NGQxug
66,Pay Attention,https://www.youtube.com/watch?v=83VoqMcYvNg,4,2:58,1,UCAuUUnT6oDeKwE6v1NGQxug
21,Close and Far,https://www.youtube.com/watch?v=KEmJXHOFdJs,4,7:11,1,UCAuUUnT6oDeKwE6v1NGQxug
22,Northern Lights,https://www.youtube.com/watch?v=Bh0SRbihohY,5,3:21,1,UCAuUUnT6oDeKwE6v1NGQxug
20,LAX,https://www.youtube.com/watch?v=LkWdKZJRlMc,5,3:44,1,UCAuUUnT6oDeKwE6v1NGQxug
42,Desert,https://www.youtube.com/watch?v=7aeXCIirnzg,5,2:18,1,UCAuUUnT6oDeKwE6v1NGQxug
49,Tell,https://www.youtube.com/watch?v=mSLRtzVkK-w,6,4:26,1,UCAuUUnT6oDeKwE6v1NGQxug
47,Meaning,https://www.youtube.com/watch?v=XCT41A0r3K4,6,3:50,1,UCAuUUnT6oDeKwE6v1NGQxug
46,Author,https://www.youtube.com/watch?v=E18xED0K9lk,6,1:42,1,UCAuUUnT6oDeKwE6v1NGQxug
183,More human connection,https://www.youtube.com/watch?v=XbFu88vSMeM,6,4:46,1,UCAuUUnT6oDeKwE6v1NGQxug
36,Lifequakes,https://www.youtube.com/watch?v=wyHByETc8tc,6,4:35,1,UCAuUUnT6oDeKwE6v1NGQxug
182,Talking to strangers,https://www.youtube.com/watch?v=ys1WVLQRH-U,6,4:33,1,UCAuUUnT6oDeKwE6v1NGQxug
44,Create,https://www.youtube.com/watch?v=jMNjHZ_5_-4,6,3:38,1,UCAuUUnT6oDeKwE6v1NGQxug
68,How Memories Are Made,https://www.youtube.com/watch?v=ZcFeLakFrYo,7,6:03,1,UCAuUUnT6oDeKwE6v1NGQxug
180,Finding work you love,https://www.youtube.com/watch?v=znZ6TgU_7-M,7,5:32,1,UCAuUUnT6oDeKwE6v1NGQxug
48,Launch,https://www.youtube.com/watch?v=ntj7X8SqSl8,7,1:39,1,UCAuUUnT6oDeKwE6v1NGQxug
41,Mark,https://www.youtube.com/watch?v=l6KxYA1EjbQ,7,2:46,1,UCAuUUnT6oDeKwE6v1NGQxug
45,Share,https://www.youtube.com/watch?v=T4pinT6Cnas,7,3:08,1,UCAuUUnT6oDeKwE6v1NGQxug
181,What love looks like,https://www.youtube.com/watch?v=h-7HrQr4UOo,8,4:39,1,UCAuUUnT6oDeKwE6v1NGQxug
43,Shed,https://www.youtube.com/watch?v=Lvw7158xyJg,8,2:36,1,UCAuUUnT6oDeKwE6v1NGQxug
