,video_title,video_link,video_views,video_duration,video_availability,channel_id
257,The Blind Spots of the Green Energy Transition | Olivia Lazard | TED,https://www.youtube.com/watch?v=za6dE5JrNB0,222843,18:02,1,UCAuUUnT6oDeKwE6v1NGQxug
270,A New Understanding of Human History and the Roots of Inequality | David Wengrow | TED,https://www.youtube.com/watch?v=8SJi0sHrEI4,257799,17:29,1,UCAuUUnT6oDeKwE6v1NGQxug
199,What You Can Learn from People Who Disagree With You | Shreya Joshi | TED,https://www.youtube.com/watch?v=71aysTMMNw4,274754,10:27,1,UCAuUUnT6oDeKwE6v1NGQxug
115,The Habit That Could Improve Your Career | Paul Catchlove | TED,https://www.youtube.com/watch?v=NcKLNP8x_QA,306662,10:59,1,UCAuUUnT6oDeKwE6v1NGQxug
324,How mRNA Medicine Will Change the World | Melissa J. Moore | TED,https://www.youtube.com/watch?v=h5D3mv8ewCY,322816,18:04,1,UCAuUUnT6oDeKwE6v1NGQxug
364,What Does a Voice of the Future Sound Like? | Reeps One | TED Countdown,https://www.youtube.com/watch?v=zZEfiiCFEKQ,352376,6:11,1,UCAuUUnT6oDeKwE6v1NGQxug
137,How to Tap into Your Awareness | Yongey Mingyur Rinpoche | TED,https://www.youtube.com/watch?v=LDVyOnf0t9M,368957,10:57,1,UCAuUUnT6oDeKwE6v1NGQxug
218,How AI Could Empower Any Business | Andrew Ng | TED,https://www.youtube.com/watch?v=reUZRyXxUs4,398537,11:17,1,UCAuUUnT6oDeKwE6v1NGQxug
344,How the James Webb Space Telescope Will Unfold the Universe | John C. Mather | TED,https://www.youtube.com/watch?v=0BSaphO1v-U,403762,8:48,1,UCAuUUnT6oDeKwE6v1NGQxug
264,Yuval Noah Harari Reveals the Real Dangers Ahead | The TED Interview,https://www.youtube.com/watch?v=w7DohVZS5Yo,413355,1:09:57,1,UCAuUUnT6oDeKwE6v1NGQxug
292,SpaceX's Supersized Starship Rocket and the Future of Galactic Exploration | Jennifer Heldmann | TED,https://www.youtube.com/watch?v=Li7PsYiwxVc,420584,13:23,1,UCAuUUnT6oDeKwE6v1NGQxug
221,The Benefits of Not Being a Jerk to Yourself | Dan Harris | TED,https://www.youtube.com/watch?v=NuhIzO57HVk,427313,13:40,1,UCAuUUnT6oDeKwE6v1NGQxug
396,"""A Seat at the Table"" Isn't the Solution for Gender Equity | Lilly Singh | TED",https://www.youtube.com/watch?v=9EBkS2kE7uk,454901,19:56,1,UCAuUUnT6oDeKwE6v1NGQxug
345,We Can Make COVID-19 the Last Pandemic | Bill Gates | TED,https://www.youtube.com/watch?v=B5smctuV7-Q,720772,14:48,1,UCAuUUnT6oDeKwE6v1NGQxug
122,The Secret to a Happy Life — Lessons from 8 Decades of Research | Robert Waldinger | TED,https://www.youtube.com/watch?v=IStsehNAOL8,840377,28:43,1,UCAuUUnT6oDeKwE6v1NGQxug
211,You Don’t Actually Know What Your Future Self Wants | Shankar Vedantam | TED,https://www.youtube.com/watch?v=dtfaccGmCCs,844367,14:10,1,UCAuUUnT6oDeKwE6v1NGQxug
273,Why Having Fun Is the Secret to a Healthier Life | Catherine Price | TED,https://www.youtube.com/watch?v=iMBJrvEwv8s,1217350,12:34,1,UCAuUUnT6oDeKwE6v1NGQxug
204,Do You Really Need 8 Hours of Sleep Every Night? | Body Stuff with Dr. Jen Gunter | TED,https://www.youtube.com/watch?v=fQUeDdaVoWo,1323846,3:54,1,UCAuUUnT6oDeKwE6v1NGQxug
322,How to Discover Your Authentic Self -- at Any Age | Bevy Smith | TED,https://www.youtube.com/watch?v=7vqnazqmceQ,1359927,15:10,1,UCAuUUnT6oDeKwE6v1NGQxug
387,War in Ukraine -- and What It Means for the World Order | Ian Bremmer | TED,https://www.youtube.com/watch?v=k0Fx6igxRv8,1659914,49:13,1,UCAuUUnT6oDeKwE6v1NGQxug
302,"How a ""Hi Level"" Mindset Helps You Realize Your Potential | Cordae | TED",https://www.youtube.com/watch?v=x9Ezzxy0frA,2112380,12:44,1,UCAuUUnT6oDeKwE6v1NGQxug
405,The War in Ukraine Could Change Everything | Yuval Noah Harari | TED,https://www.youtube.com/watch?v=yQqthbvYE8M,4635324,49:38,1,UCAuUUnT6oDeKwE6v1NGQxug
349,Elon Musk: A future worth getting excited about | TED | Tesla Texas Gigafactory interview,https://www.youtube.com/watch?v=YRvf00NooN8,8563821,1:06:25,1,UCAuUUnT6oDeKwE6v1NGQxug
