,video_title,video_link,video_views,video_duration,video_availability,channel_id
157,Ram Divedi of Pravaig Dynamics on the Importance of Building a Professional  Network,https://www.youtube.com/watch?v=Y_Ywimm5BWU,3099,9:41,1,UCnpekFV93kB1O0rVqEKSumg
4,"Journey From Founder To VC: Rajiv Srivatsa, Antler - Backstage With Millionaires",https://www.youtube.com/watch?v=o74yhtnTDhU,3707,45:55,1,UCnpekFV93kB1O0rVqEKSumg
5,"Future of Self-Driving Vehicles in India: Gagandeep Reehal, Minus Zero - Backstage With Millionaires",https://www.youtube.com/watch?v=NS0nPWAt5T0,4405,41:58,1,UCnpekFV93kB1O0rVqEKSumg
3,"Solving India's Weight Problem: Tushar Vashisht, HealthifyMe - Backstage With Millionaires",https://www.youtube.com/watch?v=D6gh8CmUCvs,4509,45:30,1,UCnpekFV93kB1O0rVqEKSumg
86,Iconic Tinkle Cartoon Characters Suppandi and Shikari Shambu Coming as NFTs: Indian Web3 News,https://www.youtube.com/watch?v=17EmXSPEoew,5548,7:33,1,UCnpekFV93kB1O0rVqEKSumg
171,How to Find a Mentor | Ashish Tulsian (Founder of POSist) | Startup & Entrepreneurship Advice,https://www.youtube.com/watch?v=oFdF3U1tKhg,5801,3:19,1,UCnpekFV93kB1O0rVqEKSumg
9,"How Riten Debnath Built Tripura’s Top Startup, Fueler",https://www.youtube.com/watch?v=as9-in1lRgg,5928,10:40,1,UCnpekFV93kB1O0rVqEKSumg
95,SuperGaming Goes Web3 | Defy To Diversify Crypto Investments | Track Your NFT Portfolio’s Value,https://www.youtube.com/watch?v=mA7KOftlPps,6519,5:00,1,UCnpekFV93kB1O0rVqEKSumg
173,Best Advice for College Students in the Age of Automation by Ashish Tulsian | Entrepreneur Advice,https://www.youtube.com/watch?v=nM9EOKQXuzM,6633,3:03,1,UCnpekFV93kB1O0rVqEKSumg
191,"Backstage with Millionaires Membership, Explained!",https://www.youtube.com/watch?v=bH0PfRCmnAw,7210,2:59,1,UCnpekFV93kB1O0rVqEKSumg
148,"Alice Besomi, Jungle Ventures: Building a Global SaaS Startup From India",https://www.youtube.com/watch?v=veXllGNikns,8105,10:23,1,UCnpekFV93kB1O0rVqEKSumg
15,Will Poole: Advice from an American VC in India,https://www.youtube.com/watch?v=ajKpFu06nUU,8415,9:24,1,UCnpekFV93kB1O0rVqEKSumg
98,Shardeum To Solve Blockchain Scalability Issue | TDS To Kill Crypto Trade? | Polygon Raises $450M,https://www.youtube.com/watch?v=4CAxkgio7xM,9824,14:17,1,UCnpekFV93kB1O0rVqEKSumg
8,How Mamaearth Took Over Indian Beauty Industry?,https://www.youtube.com/watch?v=ZMWAidOzWvI,10055,11:58,1,UCnpekFV93kB1O0rVqEKSumg
92,How Indian YUG Metaverse Is Taking Virtual Dating to the Moon: Indian Web3 News,https://www.youtube.com/watch?v=g9AK9m2GKy0,10138,9:00,1,UCnpekFV93kB1O0rVqEKSumg
101,Are Cryptocurrencies Legal in India? | YouTube’s Gaming Head Joins Polygon | Cricket NFTs Launched,https://www.youtube.com/watch?v=r9ljbZM2WgU,10198,12:08,1,UCnpekFV93kB1O0rVqEKSumg
89,BitConnect’s Founder Satish Kumbhani Is Charged in a $2.4 Billion Crypto Scam: Indian Web3 News,https://www.youtube.com/watch?v=Y7N984Z7SRA,10237,7:41,1,UCnpekFV93kB1O0rVqEKSumg
80,Zomato to Launch 10 Minute Food Delivery: Innovation or Absurd?,https://www.youtube.com/watch?v=LQqzKnJglVc,10844,9:50,1,UCnpekFV93kB1O0rVqEKSumg
17,How to Build an ONDC Startup - Gogappi Founder Interview,https://www.youtube.com/watch?v=jt4OAdw1_98,11204,10:20,1,UCnpekFV93kB1O0rVqEKSumg
14,"Fraud Attacks on India's UPI, Ola Electric to open Physical Stores - Indian Startup News 147",https://www.youtube.com/watch?v=tPQFT2CXDnw,11219,4:40,1,UCnpekFV93kB1O0rVqEKSumg
7,Top 10 Ahmedabad Startups,https://www.youtube.com/watch?v=SScs3un6haY,11755,10:06,1,UCnpekFV93kB1O0rVqEKSumg
1,Could Bengaluru's Startup Ecosystem Replace San Francisco's? - Indian Startup News 149,https://www.youtube.com/watch?v=TFHW5CA9r98,11771,22:09,1,UCnpekFV93kB1O0rVqEKSumg
78,"How Voosh is Delivering Food in 10 Minutes in Bengaluru: Priyam Saraswat, Co-Founder of Voosh",https://www.youtube.com/watch?v=fkGjN9hlA64,11854,10:56,1,UCnpekFV93kB1O0rVqEKSumg
159,"How a 15-Year-Old Indian Entrepreneur Built a Profitable Edtech Startup: Shreyaan Daga, OLL",https://www.youtube.com/watch?v=G6ItBEFvTTM,11864,35:58,1,UCnpekFV93kB1O0rVqEKSumg
175,Q&A With Narayan Subramaniam and Niraj Rajmohan - Founders of EV Startup @UltravioletteEV,https://www.youtube.com/watch?v=kz1kj_LcQGQ,12087,16:20,1,UCnpekFV93kB1O0rVqEKSumg
19,The Current State of ONDC in November 2022 (Real Customer Experience),https://www.youtube.com/watch?v=OLoh9ptjmyw,12171,10:12,1,UCnpekFV93kB1O0rVqEKSumg
105,Pine Labs Confidential IPO | Edtech Startups Want To Self-regulate | Lead School – Latest Unicorn,https://www.youtube.com/watch?v=B8AUHVm6XbU,12225,8:56,1,UCnpekFV93kB1O0rVqEKSumg
13,"He’s Open Sourcing Everything, Including Facebook",https://www.youtube.com/watch?v=76OreeG8bzM,12571,42:53,1,UCnpekFV93kB1O0rVqEKSumg
185,"Interview with Dhawal Khullar, Co-founder & CTO of Pravaig Dynamics on Building Extinction Mk 1",https://www.youtube.com/watch?v=imuogWkr_Xg,12581,29:40,1,UCnpekFV93kB1O0rVqEKSumg
102,Ola’s Electric Car in the Making | Memes as NFTs | India’s First Metaverse Concert,https://www.youtube.com/watch?v=OlDXsyq1a30,12885,9:01,1,UCnpekFV93kB1O0rVqEKSumg
106,India Cracks Down on Crypto Exchanges | ESOPs Making Startup Employees Rich | Fractal - New Unicorn?,https://www.youtube.com/watch?v=81AAgjzP2ok,13420,10:41,1,UCnpekFV93kB1O0rVqEKSumg
83,Why Did the IT Department Raid Infra.Market’s Offices? - Indian Startup News 112,https://www.youtube.com/watch?v=YF15MszoaN4,13547,12:09,1,UCnpekFV93kB1O0rVqEKSumg
69,"Crypto Trading down 60%, Zepto enters food delivery - Indian Startup News #117",https://www.youtube.com/watch?v=dSYElJ0aVM8,13557,8:58,1,UCnpekFV93kB1O0rVqEKSumg
31,The INCREDIBLE Success Story of UPGRAD,https://www.youtube.com/watch?v=AMDBehCrJ9M,13686,22:15,1,UCnpekFV93kB1O0rVqEKSumg
74,Pixxel Launches Their First Satellite Into Space – Indian Startup News #115,https://www.youtube.com/watch?v=768Nkw4b3ew,13847,10:35,1,UCnpekFV93kB1O0rVqEKSumg
88,Why Ola Electric is Building a Battery Factory in India - Indian Startup News 110,https://www.youtube.com/watch?v=79CTJaQiCmw,14082,10:00,1,UCnpekFV93kB1O0rVqEKSumg
172,"Indian Startup News Ep 62: Mobikwik’s Data Breach, WhiteHat Jr in Space & InMobi's IPO in the US",https://www.youtube.com/watch?v=IkYCzmmn1xk,14086,14:07,1,UCnpekFV93kB1O0rVqEKSumg
108,2021 Rewind: The Year of Indian Startups,https://www.youtube.com/watch?v=NPBcYptU7vE,14221,9:39,1,UCnpekFV93kB1O0rVqEKSumg
94,Why Cult.fit decided to acquire Gold's Gym’s India business?,https://www.youtube.com/watch?v=7i3URf7xuPI,14442,8:06,1,UCnpekFV93kB1O0rVqEKSumg
26,Swiggy is Using DRONES for Deliveries- Indian Startup News 140,https://www.youtube.com/watch?v=P58h6sy25WQ,14469,8:07,1,UCnpekFV93kB1O0rVqEKSumg
66,"Ola's Self Driving Car, RBI rejects Mobikwik Payment license - Indian Startup News #118",https://www.youtube.com/watch?v=82BTEa4eLp0,14523,13:56,1,UCnpekFV93kB1O0rVqEKSumg
2,"Building A $250 Million SaaS Startup: Abhishek Nayak, Appsmith - Backstage With Millionaires",https://www.youtube.com/watch?v=NOUdxvLtZAU,14588,43:31,1,UCnpekFV93kB1O0rVqEKSumg
28,OYO Has Filed for IPO *AGAIN*  - Indian Startup News 139,https://www.youtube.com/watch?v=8fP_ATRjAwU,14596,8:12,1,UCnpekFV93kB1O0rVqEKSumg
20,"Building a Multi-Million Dollar Profitable Startup in India - Rahm Shastry, DriveU",https://www.youtube.com/watch?v=jto396w9cg8,14710,43:33,1,UCnpekFV93kB1O0rVqEKSumg
35,How Pratham Mittal Is Fixing Indian Business Education?,https://www.youtube.com/watch?v=BzOrENKvfV4,14739,1:00:00,1,UCnpekFV93kB1O0rVqEKSumg
16,"""Meet targets or leave!"": BYJU'S - BwM News 146",https://www.youtube.com/watch?v=GTSYwkG5pw4,14770,4:51,1,UCnpekFV93kB1O0rVqEKSumg
109,Byju’s Planning an IPO? | Blinkit Wants to Only Deliver in 10-Minutes | Urban Company Sues Partners,https://www.youtube.com/watch?v=RkEaN3wyGVg,15202,12:47,1,UCnpekFV93kB1O0rVqEKSumg
64,Top 10 Upcoming Startup IPOs in India,https://www.youtube.com/watch?v=FZjyI0Iy-cU,15211,9:57,1,UCnpekFV93kB1O0rVqEKSumg
176,"Indian Startup News Ep 60: Nazara IPO, Log 9 Materials EVs & Oyo Closes Loss Making Ventures",https://www.youtube.com/watch?v=2a0Tsdu4PbE,15258,9:17,1,UCnpekFV93kB1O0rVqEKSumg
32,Flipkart launches a Hotel-booking service - Indian Startup News 137,https://www.youtube.com/watch?v=l5C_ynV-V68,15293,8:17,1,UCnpekFV93kB1O0rVqEKSumg
162,"Indian Startup News Ep 68: CarTrade IPO, Ziffyhomes in Trouble & Groww Acquires Indiabulls MF Biz",https://www.youtube.com/watch?v=4VcPyMFZVcU,15362,9:06,1,UCnpekFV93kB1O0rVqEKSumg
30,"Quick Commerce Startups to Deliver 24/7, BYJU's losses pile up - Indian Startup News 138",https://www.youtube.com/watch?v=cIVtkL7OQVo,15482,8:57,1,UCnpekFV93kB1O0rVqEKSumg
166,"Indian Startup News Ep 65: Dream11 IPO, NPCI to Ban Gaming UPI Transactions & LIC-Paytm Partnership",https://www.youtube.com/watch?v=K-5e90Cn9qE,15670,10:42,1,UCnpekFV93kB1O0rVqEKSumg
18,Ola Electric Reclaim No 1 Spot - Indian Startup News 145,https://www.youtube.com/watch?v=qPxIccxvV-I,15694,7:15,1,UCnpekFV93kB1O0rVqEKSumg
156,India’s First NFT Marketplace | RBI Circular Banning Crypto Invalid | Online Alcohol Delivery Delhi,https://www.youtube.com/watch?v=UckhaF-Hk2g,15756,14:29,1,UCnpekFV93kB1O0rVqEKSumg
128,Lava’s IPO | Oyo Legal Tussle With Zostel Ahead of IPO | Vedantu – Latest Edtech Unicorn,https://www.youtube.com/watch?v=qwNS203E9b8,15960,18:03,1,UCnpekFV93kB1O0rVqEKSumg
168,Indian Startup News Ep 64: Minus Zero Tests Their Self Driving Technology & Upstox Data Breach,https://www.youtube.com/watch?v=AmfM8HV4Jko,15962,12:16,1,UCnpekFV93kB1O0rVqEKSumg
38,What Are the Stages of a Pre-Seed Startup?,https://www.youtube.com/watch?v=BOi2CU77FrA,15966,13:16,1,UCnpekFV93kB1O0rVqEKSumg
