,video_title,video_link,video_views,video_duration,video_availability,channel_id
11,Celebrating 10 years of Entrepreneurship - Array Innovative turns 10,https://www.youtube.com/watch?v=0TRCJ2XItJ0,381,3:08,1,UCA3UOfsFRZe_OWtVfwlLz1g
2,What investors wont tell you about startup funding?,https://www.youtube.com/watch?v=Njv3J3a2DM8,932,6:53,1,UCA3UOfsFRZe_OWtVfwlLz1g
6,How to Raise Startup Funding - Process of Funding - Part 3 (Startup Funding),https://www.youtube.com/watch?v=8Q0OzhcntjQ,1113,10:53,1,UCA3UOfsFRZe_OWtVfwlLz1g
9,Startup Questions & Answers - September 2019,https://www.youtube.com/watch?v=HAOBS2tWz6o,1278,5:50,1,UCA3UOfsFRZe_OWtVfwlLz1g
7,What are the different Sources of Funding - Part 2 (Startup Funding),https://www.youtube.com/watch?v=ZVcRvrt4mb4,1662,9:28,1,UCA3UOfsFRZe_OWtVfwlLz1g
8,Startup Funding Basics - Pre-Requisites of Funding - Part 1 (Startup Funding),https://www.youtube.com/watch?v=B95lnT8-xcs,2011,6:47,1,UCA3UOfsFRZe_OWtVfwlLz1g
3,Funding options for startups,https://www.youtube.com/watch?v=nVTI71JXOQg,2013,6:12,1,UCA3UOfsFRZe_OWtVfwlLz1g
4,What are the stages of startup funding?,https://www.youtube.com/watch?v=IgtxKOaqkjo,2310,4:09,1,UCA3UOfsFRZe_OWtVfwlLz1g
0,Top 10 movies every Entrepreneur must see,https://www.youtube.com/watch?v=eZRNWv5gYzc,2314,12:39,1,UCA3UOfsFRZe_OWtVfwlLz1g
5,What do Investors look for in a Startup?,https://www.youtube.com/watch?v=h_nb1dvPk_Q,3120,5:39,1,UCA3UOfsFRZe_OWtVfwlLz1g
10,Top 5 Web Hosting Services for your Startup Website (2019),https://www.youtube.com/watch?v=rL7cF_FKhII,3402,8:00,1,UCA3UOfsFRZe_OWtVfwlLz1g
1,How to approach investors for your startup funding?,https://www.youtube.com/watch?v=04daZOSqaoA,6546,3:38,1,UCA3UOfsFRZe_OWtVfwlLz1g
